Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,25,BOS,NBA,SG,72,47,1927,175,413,.424,16,57,.281,159,356,.447,.443,119,158,.753,128,244,372,177,116,15,93,222,485
2000-01,26,BOS,NBA,SF,44,0,377,33,97,.340,9,26,.346,24,71,.338,.387,18,24,.750,27,60,87,27,18,5,18,45,93
2001-02,27,DAL,NBA,SG,58,34,1383,179,359,.499,16,54,.296,163,305,.534,.521,41,49,.837,68,161,229,106,75,12,42,142,415
2002-03,28,DAL,NBA,SG,74,48,1373,146,337,.433,6,24,.250,140,313,.447,.442,27,32,.844,88,176,264,105,77,6,47,157,325
2003-04,29,HOU,NBA,SG,19,1,133,5,18,.278,1,2,.500,4,16,.250,.306,0,4,.000,1,18,19,10,7,2,3,17,11
2004-05,30,CHI,NBA,SF,69,1,667,58,161,.360,2,9,.222,56,152,.368,.366,33,44,.750,52,94,146,53,43,4,30,78,151
2005-06,31,DAL,NBA,SG,52,45,1245,98,204,.480,0,2,.000,98,202,.485,.480,41,53,.774,75,152,227,89,51,9,39,113,237
2006-07,32,CHI,NBA,SF,54,1,585,61,129,.473,0,6,.000,61,123,.496,.473,15,19,.789,40,69,109,59,32,4,38,78,137
2007-08,33,TOT,NBA,SG-SF,35,2,307,30,76,.395,0,0,0,30,76,.395,.395,5,9,.556,28,31,59,27,17,2,21,27,65
2007-08,33,CHI,NBA,SG,22,2,222,24,60,.400,0,0,0,24,60,.400,.400,3,7,.429,19,18,37,22,12,1,16,19,51
2007-08,33,SEA,NBA,SF,13,0,85,6,16,.375,0,0,0,6,16,.375,.375,2,2,1.000,9,13,22,5,5,1,5,8,14
