Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1960-61,24,PHW,NBA,PG,77,0,1544,222,543,.409,0,0,0,222,543,.409,.409,97,162,.599,0,0,214,174,0,0,0,235,541
1961-62,25,PHW,NBA,PG,75,0,2468,343,724,.474,0,0,0,343,724,.474,.474,158,267,.592,0,0,355,333,0,0,0,279,844
1962-63,26,SFW,NBA,PG,71,0,1876,301,630,.478,0,0,0,301,630,.478,.478,133,206,.646,0,0,205,184,0,0,0,253,735
1963-64,27,SFW,NBA,PG,70,0,1883,289,640,.452,0,0,0,289,640,.452,.452,185,275,.673,0,0,236,197,0,0,0,249,763
1964-65,28,SFW,NBA,PG,73,0,1733,254,662,.384,0,0,0,254,662,.384,.384,171,274,.624,0,0,239,205,0,0,0,242,679
1965-66,29,SFW,NBA,PG,79,0,2053,364,724,.503,0,0,0,364,724,.503,.503,154,252,.611,0,0,322,225,0,0,0,265,882
1966-67,30,SFW,NBA,PG,69,0,1764,212,467,.454,0,0,0,212,467,.454,.454,88,151,.583,0,0,321,269,0,0,0,265,512
1967-68,31,SFW,NBA,PG,67,0,1992,252,540,.467,0,0,0,252,540,.467,.467,150,216,.694,0,0,276,390,0,0,0,284,654
1968-69,32,SFW,NBA,PG,51,0,1516,162,359,.451,0,0,0,162,359,.451,.451,95,149,.638,0,0,181,306,0,0,0,183,419
1969-70,33,SFW,NBA,PG,45,0,676,78,202,.386,0,0,0,78,202,.386,.386,75,113,.664,0,0,74,142,0,0,0,103,231
1970-71,34,SFW,NBA,PG,34,0,321,22,54,.407,0,0,0,22,54,.407,.407,24,41,.585,0,0,40,58,0,0,0,59,68
