Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,20,CHH,NBA,PG,82,0,1523,182,433,.420,25,111,.225,157,322,.488,.449,97,153,.634,48,117,165,309,97,19,140,201,486
2000-01,21,CHH,NBA,PG,82,82,3192,409,957,.427,85,274,.310,324,683,.474,.472,228,337,.677,129,279,408,598,170,36,226,267,1131
2001-02,22,CHH,NBA,PG,82,82,3318,559,1341,.417,170,478,.356,389,863,.451,.480,196,338,.580,93,256,349,698,172,47,246,241,1484
2002-03,23,NOH,NBA,PG,50,47,1889,332,798,.416,99,283,.350,233,515,.452,.478,93,131,.710,56,130,186,320,91,22,140,148,856
2003-04,24,NOH,NBA,PG,67,66,2686,554,1402,.395,187,582,.321,367,820,.448,.462,237,352,.673,66,221,287,501,158,27,215,178,1532
2004-05,25,TOT,NBA,PG,46,32,1581,291,752,.387,118,354,.333,173,398,.435,.465,185,243,.761,32,143,175,362,81,14,131,126,885
2004-05,25,NOH,NBA,PG,18,13,593,111,303,.366,44,137,.321,67,166,.404,.439,74,96,.771,16,51,67,129,31,4,38,52,340
2004-05,25,GSW,NBA,PG,28,19,988,180,449,.401,74,217,.341,106,232,.457,.483,111,147,.755,16,92,108,233,50,10,93,74,545
2005-06,26,GSW,NBA,PG,54,48,1971,335,861,.389,102,324,.315,233,537,.434,.448,195,289,.675,45,191,236,480,89,14,159,165,967
2006-07,27,GSW,NBA,PG,63,62,2221,452,1030,.439,85,280,.304,367,750,.489,.480,275,369,.745,51,225,276,509,135,29,193,181,1264
2007-08,28,GSW,NBA,PG,82,82,3196,650,1526,.426,173,525,.330,477,1001,.477,.483,318,424,.750,96,289,385,623,191,43,232,247,1791
2008-09,29,LAC,NBA,PG,65,60,2248,355,959,.370,99,328,.302,256,631,.406,.422,159,210,.757,46,192,238,501,108,35,193,193,968
2009-10,30,LAC,NBA,PG,75,73,2523,412,1015,.406,82,296,.277,330,719,.459,.446,239,291,.821,52,214,266,598,126,43,211,210,1145
2010-11,31,TOT,NBA,PG,58,44,1649,289,693,.417,81,239,.339,208,454,.458,.475,101,131,.771,35,121,156,391,78,28,146,143,760
2010-11,31,LAC,NBA,PG,43,35,1269,214,515,.416,45,152,.296,169,363,.466,.459,79,104,.760,29,91,120,299,62,22,107,114,552
2010-11,31,CLE,NBA,PG,15,9,380,75,178,.421,36,87,.414,39,91,.429,.522,22,27,.815,6,30,36,92,16,6,39,29,208
2011-12,32,NYK,NBA,PG,29,14,595,68,184,.370,26,85,.306,42,99,.424,.440,16,24,.667,13,43,56,135,34,3,76,61,178
