Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,25,NJN,NBA,C,68,7,1029,182,313,.581,0,1,.000,182,312,.583,.581,88,121,.727,99,189,288,37,32,31,94,200,452
1987-88,26,TOT,NBA,PF,70,24,1498,226,453,.499,0,3,.000,226,450,.502,.499,141,185,.762,116,234,350,62,43,41,127,230,593
1987-88,26,NJN,NBA,PF,27,10,657,116,240,.483,0,2,.000,116,238,.487,.483,65,84,.774,58,115,173,39,28,16,72,110,297
1987-88,26,PHI,NBA,PF,43,14,841,110,213,.516,0,1,.000,110,212,.519,.516,76,101,.752,58,119,177,23,15,25,55,120,296
1988-89,27,PHI,NBA,PF,58,11,703,117,241,.485,0,0,0,117,241,.485,.485,61,77,.792,49,128,177,17,10,18,48,120,295
1989-90,28,MIL,NBA,PF,22,0,305,46,97,.474,0,1,.000,46,96,.479,.474,34,41,.829,31,56,87,12,7,7,26,54,126
1990-91,29,Did Not Play(other pro leagueSpain)
1991-92,30,Did Not Play(other pro leagueSpain)
1992-93,31,Did Not Play(other pro leagueSpain)
1993-94,32,DET,NBA,PF,9,0,77,12,25,.480,0,0,0,12,25,.480,.480,4,8,.500,10,16,26,0,2,2,7,9,28
