Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,22,NYK,NBA,C,82,0,3150,665,1215,.547,0,0,0,665,1215,.547,.547,451,566,.797,194,532,726,165,48,101,222,279,1781
1980-81,23,NYK,NBA,C,82,0,2925,619,1118,.554,0,1,.000,619,1117,.554,.554,408,518,.788,161,452,613,111,48,83,200,259,1646
1981-82,24,NYK,NBA,C,72,50,2060,390,694,.562,0,0,0,390,694,.562,.562,257,337,.763,116,305,421,87,48,65,166,208,1037
1982-83,25,NYK,NBA,C,82,82,2468,455,804,.566,0,0,0,455,804,.566,.566,380,511,.744,185,405,590,136,41,127,204,315,1290
1983-84,26,NYK,NBA,C,77,77,2487,453,808,.561,0,1,.000,453,807,.561,.561,404,502,.805,195,454,649,107,44,97,200,262,1310
1984-85,27,Did Not Play(injuryfoot)
1985-86,28,NYK,NBA,C,2,0,36,3,7,.429,0,0,0,3,7,.429,.429,6,10,.600,2,8,10,5,1,1,6,6,12
1986-87,29,NYK,NBA,C,58,50,1989,335,631,.531,0,0,0,335,631,.531,.531,346,438,.790,132,313,445,96,40,26,128,188,1016
1987-88,30,NYK,NBA,C,82,4,1676,287,528,.544,0,0,0,287,528,.544,.544,340,426,.798,127,257,384,85,43,43,135,234,914
1988-89,31,CHI,NBA,C,78,76,2333,365,768,.475,0,0,0,365,768,.475,.475,236,308,.766,152,369,521,90,21,41,190,234,966
1989-90,32,CHI,NBA,C,71,71,2160,292,598,.488,0,0,0,292,598,.488,.488,227,280,.811,137,328,465,145,38,34,123,243,811
1990-91,33,CHI,NBA,C,79,79,2273,318,649,.490,0,0,0,318,649,.490,.490,124,178,.697,167,319,486,126,32,15,113,167,760
1991-92,34,CHI,NBA,C,64,64,1471,208,445,.467,0,0,0,208,445,.467,.467,96,159,.604,93,231,324,87,22,14,75,131,512
1992-93,35,CHI,NBA,C,63,63,1253,141,343,.411,0,0,0,141,343,.411,.411,72,98,.735,83,150,233,83,20,10,62,154,354
1993-94,36,CHI,NBA,C,42,41,780,98,191,.513,0,0,0,98,191,.513,.513,39,57,.684,43,109,152,57,8,8,50,83,235
1994-95,37,SEA,NBA,C,29,19,430,27,69,.391,0,0,0,27,69,.391,.391,15,24,.625,25,62,87,10,6,3,18,70,69
