Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1950-51,24,WSC,NBA,SG,31,0,0,141,381,.370,0,0,0,141,381,.370,.370,96,108,.889,0,0,110,39,0,0,0,86,378
1951-52,25,BOS,NBA,SG,63,0,1389,244,628,.389,0,0,0,244,628,.389,.389,183,213,.859,0,0,221,151,0,0,0,181,671
1952-53,26,BOS,NBA,SG,71,0,2333,403,925,.436,0,0,0,403,925,.436,.436,341,401,.850,0,0,288,191,0,0,0,240,1147
1953-54,27,BOS,NBA,SG,72,0,2467,412,915,.450,0,0,0,412,915,.450,.450,331,392,.844,0,0,255,229,0,0,0,211,1155
1954-55,28,BOS,NBA,SG,68,0,2453,453,1062,.427,0,0,0,453,1062,.427,.427,347,387,.897,0,0,302,280,0,0,0,212,1253
1955-56,29,BOS,NBA,SG,72,0,2698,538,1229,.438,0,0,0,538,1229,.438,.438,358,413,.867,0,0,259,339,0,0,0,197,1434
1956-57,30,BOS,NBA,SG,67,0,2403,516,1241,.416,0,0,0,516,1241,.416,.416,381,421,.905,0,0,286,236,0,0,0,188,1413
1957-58,31,BOS,NBA,SG,63,0,2214,550,1297,.424,0,0,0,550,1297,.424,.424,302,338,.893,0,0,295,167,0,0,0,156,1402
1958-59,32,BOS,NBA,SG,72,0,2382,562,1377,.408,0,0,0,562,1377,.408,.408,342,367,.932,0,0,292,179,0,0,0,173,1466
1959-60,33,BOS,NBA,SG,71,0,1916,559,1225,.456,0,0,0,559,1225,.456,.456,252,291,.866,0,0,262,144,0,0,0,154,1370
1960-61,34,BOS,NBA,SG,61,0,1538,383,908,.422,0,0,0,383,908,.422,.422,210,228,.921,0,0,223,146,0,0,0,127,976
