Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,MIL,NBA,SF,81,0,2461,434,895,.485,0,0,0,434,895,.485,.485,199,264,.754,0,0,625,292,0,0,0,279,1067
1970-71,23,MIL,NBA,SF,79,0,2862,594,1167,.509,0,0,0,594,1167,.509,.509,264,376,.702,0,0,632,277,0,0,0,287,1452
1971-72,24,MIL,NBA,SF,80,0,2957,630,1264,.498,0,0,0,630,1264,.498,.498,215,291,.739,0,0,613,249,0,0,0,297,1475
1972-73,25,MIL,NBA,SF,73,0,2852,638,1353,.472,0,0,0,638,1353,.472,.472,198,251,.789,0,0,600,207,0,0,0,279,1474
1973-74,26,MIL,NBA,SF,71,0,2521,583,1158,.503,0,0,0,583,1158,.503,.503,175,214,.818,117,362,479,201,111,41,0,271,1341
1974-75,27,MIL,NBA,SF,80,0,3031,691,1460,.473,0,0,0,691,1460,.473,.473,211,262,.805,142,409,551,243,122,48,0,330,1593
1975-76,28,MIL,NBA,SF,73,0,2735,650,1296,.502,0,0,0,650,1296,.502,.502,271,329,.824,171,369,540,206,111,38,0,263,1571
1976-77,29,MIL,NBA,SF,70,0,2501,585,1253,.467,0,0,0,585,1253,.467,.467,283,367,.771,146,294,440,268,95,28,0,222,1453
1977-78,30,WSB,NBA,SF,75,0,2777,560,1190,.471,0,0,0,560,1190,.471,.471,330,419,.788,137,305,442,287,101,44,241,262,1450
1978-79,31,WSB,NBA,SF,78,0,2629,629,1260,.499,0,0,0,629,1260,.499,.499,331,401,.825,109,338,447,365,71,57,222,259,1589
1979-80,32,WSB,NBA,SF,45,0,1457,329,729,.451,2,11,.182,327,718,.455,.453,123,152,.809,63,183,246,178,29,36,123,112,783
1980-81,33,WSB,NBA,SF,23,0,545,101,237,.426,0,1,.000,101,236,.428,.426,28,39,.718,19,64,83,60,16,9,33,54,230
1981-82,34,MIL,NBA,SF,11,0,174,21,55,.382,0,0,0,21,55,.382,.382,10,17,.588,4,13,17,13,5,2,11,25,52
