Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,24,DEN,NBA,PG,68,53,2042,310,791,.392,21,81,.259,289,710,.407,.405,149,183,.814,78,224,302,317,105,11,184,160,790
1998-99,25,MIN,NBA,PG,50,12,941,141,348,.405,10,27,.370,131,321,.408,.420,61,79,.772,43,92,135,167,39,3,75,75,353
1999-00,26,MIN,NBA,PG,73,10,1034,140,346,.405,13,46,.283,127,300,.423,.423,76,98,.776,50,103,153,172,48,7,58,114,369
2000-01,27,SAC,NBA,PG,79,7,1648,231,526,.439,39,104,.375,192,422,.455,.476,65,88,.739,74,172,246,161,87,7,103,139,566
2001-02,28,SAC,NBA,PG,81,3,1750,334,754,.443,79,219,.361,255,535,.477,.495,149,184,.810,82,169,251,164,73,11,93,145,896
2002-03,29,SAC,NBA,PG,59,26,1676,340,732,.464,89,235,.379,251,497,.505,.525,126,149,.846,57,162,219,182,71,3,106,126,895
2003-04,30,SAC,NBA,SG,50,0,1185,263,592,.444,81,219,.370,182,373,.488,.513,82,109,.752,55,119,174,105,49,8,63,106,689
2004-05,31,SAC,NBA,SG,25,0,536,109,255,.427,33,96,.344,76,159,.478,.492,50,58,.862,23,62,85,59,14,2,28,58,301
2005-06,32,MEM,NBA,PG,71,15,1775,286,748,.382,129,332,.389,157,416,.377,.469,107,146,.733,44,179,223,195,61,1,101,155,808
2006-07,33,NOK,NBA,SG,56,2,1330,204,518,.394,54,165,.327,150,353,.425,.446,130,168,.774,42,136,178,141,50,6,78,98,592
2007-08,34,TOT,NBA,SG-PG,72,5,1389,204,506,.403,81,226,.358,123,280,.439,.483,64,81,.790,33,148,181,139,45,5,59,96,553
2007-08,34,NOH,NBA,SG,46,0,891,116,296,.392,53,144,.368,63,152,.414,.481,40,49,.816,23,87,110,76,32,3,31,59,325
2007-08,34,HOU,NBA,PG,26,5,498,88,210,.419,28,82,.341,60,128,.469,.486,24,32,.750,10,61,71,63,13,2,28,37,228
2008-09,35,SAC,NBA,PG,71,10,1484,193,485,.398,60,197,.305,133,288,.462,.460,86,101,.851,42,158,200,143,62,4,66,100,532
