Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,23,BOS,NBA,PF,70,4,718,122,246,.496,3,13,.231,119,233,.511,.502,50,62,.806,46,92,138,49,20,41,59,123,297
1988-89,24,TOT,NBA,PF,77,25,1214,210,486,.432,1,11,.091,209,475,.440,.433,81,103,.786,84,172,256,66,30,56,77,161,502
1988-89,24,BOS,NBA,PF,48,15,738,117,270,.433,0,4,.000,117,266,.440,.433,35,46,.761,47,95,142,49,21,26,49,101,269
1988-89,24,SAC,NBA,PF,29,10,476,93,216,.431,1,7,.143,92,209,.440,.433,46,57,.807,37,77,114,17,9,30,28,60,233
1989-90,25,TOT,NBA,PF,80,41,1943,305,663,.460,47,137,.343,258,526,.490,.495,75,103,.728,98,300,398,168,58,88,109,211,732
1989-90,25,MIN,NBA,PF,28,24,590,94,202,.465,1,16,.063,93,186,.500,.468,21,26,.808,21,89,110,62,14,22,45,66,210
1989-90,25,MIL,NBA,PF,52,17,1353,211,461,.458,46,121,.380,165,340,.485,.508,54,77,.701,77,211,288,106,44,66,64,145,522
1990-91,26,MIL,NBA,PF,81,3,1219,179,415,.431,33,119,.277,146,296,.493,.471,37,54,.685,59,158,217,75,50,74,60,170,428
1991-92,27,MIL,NBA,PF,70,8,1081,162,360,.450,57,144,.396,105,216,.486,.529,27,41,.659,65,184,249,74,40,71,46,144,408
1992-93,28,MIL,NBA,PF,80,24,1766,283,614,.461,85,230,.370,198,384,.516,.530,73,101,.723,59,217,276,127,47,74,93,178,724
1993-94,29,MIL,NBA,PF,67,2,962,102,281,.363,46,134,.343,56,147,.381,.445,20,29,.690,33,117,150,62,30,55,58,142,270
1994-95,30,MIA,NBA,PF,61,1,730,97,231,.420,63,155,.406,34,76,.447,.556,10,15,.667,28,74,102,43,20,25,29,85,267
1995-96,31,TOT,NBA,PF,55,8,598,71,175,.406,51,122,.418,20,53,.377,.551,4,5,.800,7,57,64,44,10,17,20,70,197
1995-96,31,SAS,NBA,PF,32,1,273,39,96,.406,27,65,.415,12,31,.387,.547,2,3,.667,5,28,33,17,2,7,9,34,107
1995-96,31,NYK,NBA,PF,23,7,325,32,79,.405,24,57,.421,8,22,.364,.557,2,2,1.000,2,29,31,27,8,10,11,36,90
1996-97,32,TOR,NBA,PF,6,0,45,4,15,.267,2,7,.286,2,8,.250,.333,0,0,0,1,6,7,1,1,0,1,6,10
1997-98,33,SAS,NBA,PF,9,0,102,7,21,.333,4,14,.286,3,7,.429,.429,1,3,.333,3,9,12,5,1,2,3,10,19
