Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,24,WSB,NBA,PG,68,9,859,100,279,.358,8,48,.167,92,231,.398,.373,54,68,.794,28,75,103,154,56,3,85,90,262
1993-94,25,WSB,NBA,PG,65,13,1035,141,326,.433,50,150,.333,91,176,.517,.509,68,87,.782,31,59,90,213,55,2,119,114,400
1994-95,26,Did Not Play(injury)
1995-96,27,WSB,NBA,PG,81,50,2042,252,534,.472,139,301,.462,113,233,.485,.602,167,191,.874,38,190,228,416,78,4,153,184,810
1996-97,28,HOU,NBA,PG,25,0,390,44,105,.419,17,53,.321,27,52,.519,.500,21,21,1.000,10,19,29,65,17,0,32,34,126
1997-98,29,HOU,NBA,PG,72,2,1332,128,310,.413,73,187,.390,55,123,.447,.531,77,98,.786,37,70,107,192,52,4,111,163,406
1998-99,30,HOU,NBA,PG,40,6,806,100,207,.483,46,112,.411,54,95,.568,.594,46,61,.754,18,60,78,113,33,1,65,90,292
1999-00,31,VAN,NBA,PG,41,0,424,41,119,.345,25,68,.368,16,51,.314,.450,34,39,.872,8,29,37,69,17,1,47,63,141
2000-01,32,VAN,NBA,PG,6,0,30,3,11,.273,1,4,.250,2,7,.286,.318,6,7,.857,1,3,4,5,2,0,4,8,13
2001-02,33,SAC,NBA,PG,20,0,89,9,27,.333,4,15,.267,5,12,.417,.407,9,13,.692,4,4,8,9,3,1,10,13,31
