Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,23,NJN,NBA,PF,28,0,290,23,67,.343,3,10,.300,20,57,.351,.366,11,15,.733,12,39,51,21,9,2,24,39,60
2002-03,24,NJN,NBA,PF,59,7,724,68,169,.402,14,39,.359,54,130,.415,.444,30,36,.833,40,101,141,46,16,18,46,77,180
2003-04,25,NJN,NBA,PF,69,2,928,86,218,.394,10,41,.244,76,177,.429,.417,58,70,.829,42,131,173,65,21,14,42,113,240
2004-05,26,NJN,NBA,PF,54,14,1167,132,332,.398,22,68,.324,110,264,.417,.431,53,69,.768,83,161,244,88,34,18,66,111,339
2005-06,27,BOS,NBA,PF,71,1,938,74,193,.383,31,87,.356,43,106,.406,.464,26,36,.722,27,87,114,51,21,19,50,127,205
2006-07,28,BOS,NBA,PF,54,17,1027,77,191,.403,44,110,.400,33,81,.407,.518,18,23,.783,24,81,105,59,23,18,44,130,216
2007-08,29,BOS,NBA,PF,48,9,512,29,94,.309,15,46,.326,14,48,.292,.388,15,20,.750,22,57,79,40,9,8,26,63,88
2008-09,30,BOS,NBA,C,39,8,504,48,114,.421,24,61,.393,24,53,.453,.526,16,18,.889,7,43,50,18,7,10,12,73,136
2009-10,31,BOS,NBA,PF,52,3,472,29,85,.341,16,49,.327,13,36,.361,.435,4,6,.667,9,39,48,27,9,4,17,59,78
2010-11,32,CHI,NBA,PF,18,0,88,10,19,.526,0,5,.000,10,14,.714,.526,0,0,0,1,7,8,6,3,4,5,18,20
2011-12,33,CHI,NBA,PF,28,0,122,14,30,.467,1,7,.143,13,23,.565,.483,3,6,.500,8,13,21,15,5,6,9,9,32
