Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,22,WSB,NBA,SG,65,21,1604,327,696,.470,1,23,.043,326,673,.484,.471,124,161,.770,88,102,190,126,63,10,108,148,779
1994-95,23,WSB,NBA,SG,78,71,2651,512,1129,.453,96,283,.339,416,846,.492,.496,173,213,.812,105,216,321,177,80,21,151,215,1293
1995-96,24,WSB,NBA,SF,70,70,2324,426,905,.471,52,154,.338,374,751,.498,.499,151,214,.706,67,172,239,154,67,18,129,205,1055
1996-97,25,WSB,NBA,SG,79,79,2411,369,730,.505,4,30,.133,365,700,.521,.508,95,137,.693,70,198,268,114,77,18,94,226,837
1997-98,26,WAS,NBA,SG,82,82,2841,448,981,.457,15,53,.283,433,928,.467,.464,139,215,.647,82,242,324,173,96,36,104,264,1050
1998-99,27,WAS,NBA,SG,50,18,1266,172,415,.414,8,37,.216,164,378,.434,.424,33,67,.493,33,108,141,73,39,16,42,146,385
1999-00,28,BOS,NBA,SG,67,19,1309,120,273,.440,18,54,.333,102,219,.466,.473,9,21,.429,23,115,138,80,44,14,46,158,267
2000-01,29,DEN,NBA,SG,9,5,153,10,30,.333,0,0,0,10,30,.333,.333,1,2,.500,5,15,20,9,4,2,5,14,21
2001-02,30,DEN,NBA,SG,68,47,1631,224,466,.481,0,4,.000,224,462,.485,.481,46,67,.687,57,183,240,110,34,21,70,156,494
2002-03,31,UTA,NBA,SG,81,74,2351,325,651,.499,10,25,.400,315,626,.503,.507,40,69,.580,73,211,284,163,65,13,108,225,700
2003-04,32,GSW,NBA,SF,79,7,2067,278,578,.481,0,10,.000,278,568,.489,.481,47,77,.610,77,183,260,136,60,12,85,184,603
2004-05,33,GSW,NBA,SG,55,5,951,113,265,.426,0,3,.000,113,262,.431,.426,24,37,.649,32,92,124,64,17,15,35,95,250
2005-06,34,GSW,NBA,SF,42,0,448,42,108,.389,0,8,.000,42,100,.420,.389,8,8,1.000,20,41,61,19,13,2,17,38,92
