Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,23,WAS,NBA,C,11,0,143,16,46,.348,0,0,0,16,46,.348,.348,10,14,.714,15,17,32,7,3,14,6,23,42
2000-01,24,TOT,NBA,C,55,29,933,120,252,.476,0,0,0,120,252,.476,.476,53,78,.679,77,169,246,42,29,111,53,146,293
2000-01,24,WAS,NBA,C,40,22,640,74,168,.440,0,0,0,74,168,.440,.440,33,45,.733,53,121,174,23,17,81,36,91,181
2000-01,24,DAL,NBA,C,15,7,293,46,84,.548,0,0,0,46,84,.548,.548,20,33,.606,24,48,72,19,12,30,17,55,112
2001-02,25,SEA,NBA,C,15,15,279,35,82,.427,0,0,0,35,82,.427,.427,23,24,.958,20,34,54,16,6,13,16,47,93
2002-03,26,SEA,NBA,C,47,0,575,52,119,.437,0,2,.000,52,117,.444,.437,34,47,.723,32,77,109,12,11,33,22,74,138
2003-04,27,SEA,NBA,C,71,35,1206,135,290,.466,0,2,.000,135,288,.469,.466,75,94,.798,86,194,280,28,17,101,45,150,345
2004-05,28,TOT,NBA,C,51,1,451,49,108,.454,0,1,.000,49,107,.458,.454,26,32,.813,29,78,107,8,15,28,16,78,124
2004-05,28,DAL,NBA,C,34,1,262,34,79,.430,0,1,.000,34,78,.436,.430,14,16,.875,16,42,58,4,11,16,8,55,82
2004-05,28,MIL,NBA,C,17,0,189,15,29,.517,0,0,0,15,29,.517,.517,12,16,.750,13,36,49,4,4,12,8,23,42
2005-06,29,WAS,NBA,C,33,2,250,20,47,.426,1,2,.500,19,45,.422,.436,5,9,.556,19,33,52,12,9,9,8,44,46
2006-07,30,WAS,NBA,C,44,1,380,31,66,.470,1,2,.500,30,64,.469,.477,6,10,.600,27,54,81,18,4,29,9,71,69
2007-08,31,PHI,NBA,C,31,0,204,9,27,.333,0,0,0,9,27,.333,.333,6,10,.600,6,32,38,8,6,18,4,35,24
2008-09,32,TOT,NBA,C,8,0,56,5,10,.500,0,0,0,5,10,.500,.500,6,8,.750,5,6,11,0,1,2,1,10,16
2008-09,32,MIN,NBA,C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2008-09,32,SAC,NBA,C,7,0,55,5,10,.500,0,0,0,5,10,.500,.500,6,8,.750,4,6,10,0,1,2,1,10,16
