Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,23,WSB,NBA,SF,54,10,575,88,184,.478,0,2,.000,88,182,.484,.478,30,37,.811,54,79,133,31,10,13,43,89,206
1982-83,24,WSB,NBA,SF,74,10,1161,251,534,.470,2,10,.200,249,524,.475,.472,56,89,.629,83,130,213,73,32,22,91,122,560
1983-84,25,WSB,NBA,SF,46,0,467,103,218,.472,1,9,.111,102,209,.488,.475,24,39,.615,34,69,103,30,14,10,36,58,231
1984-85,26,TOT,NBA,SF,61,2,774,153,356,.430,1,10,.100,152,346,.439,.431,51,62,.823,59,94,153,51,22,5,54,113,358
1984-85,26,WSB,NBA,SF,4,0,28,2,10,.200,0,0,0,2,10,.200,.200,3,4,.750,2,2,4,1,1,0,2,3,7
1984-85,26,MIL,NBA,SF,57,2,746,151,346,.436,1,10,.100,150,336,.446,.438,48,58,.828,57,92,149,50,21,5,52,110,351
1985-86,27,MIL,NBA,SF,57,7,873,188,397,.474,3,24,.125,185,373,.496,.477,61,75,.813,60,110,170,55,26,7,50,113,440
1986-87,28,Did Not Play(other pro leagueItaly)
1987-88,29,TOT,NBA,SF,21,0,226,48,115,.417,1,17,.059,47,98,.480,.422,7,10,.700,16,25,41,20,2,4,18,29,104
1987-88,29,MIL,NBA,SF,5,0,39,6,18,.333,0,2,.000,6,16,.375,.333,0,0,0,1,2,3,3,2,1,5,4,12
1987-88,29,SAS,NBA,SF,16,0,187,42,97,.433,1,15,.067,41,82,.500,.438,7,10,.700,15,23,38,17,0,3,13,25,92
1988-89,30,CHI,NBA,SF,49,3,545,81,190,.426,4,15,.267,77,175,.440,.437,19,26,.731,47,67,114,31,11,5,22,58,185
1989-90,31,CHI,NBA,SF,53,0,429,58,158,.367,7,25,.280,51,133,.383,.389,7,8,.875,25,56,81,18,10,8,20,52,130
