Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,22,TOT,NBA,SG,34,0,292,49,125,.392,15,47,.319,34,78,.436,.452,6,11,.545,13,14,27,21,12,6,27,24,119
1997-98,22,MIA,NBA,SG,11,0,32,4,18,.222,1,3,.333,3,15,.200,.250,1,2,.500,5,3,8,2,2,1,6,3,10
1997-98,22,LAC,NBA,SG,23,0,260,45,107,.421,14,44,.318,31,63,.492,.486,5,9,.556,8,11,19,19,10,5,21,21,109
1998-99,23,LAC,NBA,SG,23,10,317,35,97,.361,7,33,.212,28,64,.438,.397,7,16,.438,7,17,24,13,17,14,20,35,84
1999-00,24,Did Not Play(other pro leagueCBA)
2000-01,25,Did Not Play(other pro leagueItaly)
2001-02,26,SAS,NBA,SG,60,22,1141,182,428,.425,35,131,.267,147,297,.495,.466,42,65,.646,34,99,133,80,52,44,59,114,441
2002-03,27,POR,NBA,SG,3,0,13,1,4,.250,0,1,.000,1,3,.333,.250,3,4,.750,0,0,0,1,1,0,1,3,5
2003-04,28,Did Not Play(other pro leagueGreece)
2004-05,29,Did Not Play(other pro leagueItaly)
2005-06,30,TOT,NBA,SG,22,4,210,30,72,.417,15,38,.395,15,34,.441,.521,5,8,.625,3,13,16,9,5,6,4,28,80
2005-06,30,POR,NBA,SG,21,4,208,30,71,.423,15,37,.405,15,34,.441,.528,5,8,.625,3,13,16,9,5,6,4,27,80
2005-06,30,DEN,NBA,SG,1,0,2,0,1,.000,0,1,.000,0,0,0,.000,0,0,0,0,0,0,0,0,0,0,1,0
