Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1977-78,29,ATL,NBA,PG,77,0,1935,319,751,.425,0,0,0,319,751,.425,.425,236,296,.797,24,97,121,294,108,5,150,143,874
1978-79,30,ATL,NBA,PG,54,0,879,109,289,.377,0,0,0,109,289,.377,.377,67,86,.779,19,41,60,138,41,3,79,70,285
1979-80,31,ATL,NBA,PG,81,0,1794,249,578,.431,1,17,.059,248,561,.442,.432,172,212,.811,27,89,116,246,74,4,130,133,671
1980-81,32,ATL,NBA,PG,66,0,1708,220,485,.454,1,21,.048,219,464,.472,.455,185,214,.864,26,74,100,283,61,3,134,87,626
1981-82,33,TOT,NBA,PG,55,20,1392,222,498,.446,10,29,.345,212,469,.452,.456,141,159,.887,13,69,82,187,44,6,82,96,595
1981-82,33,ATL,NBA,PG,27,0,552,84,210,.400,2,8,.250,82,202,.406,.405,65,73,.890,6,32,38,75,23,2,30,40,235
1981-82,33,SDC,NBA,PG,28,20,840,138,288,.479,8,21,.381,130,267,.487,.493,76,86,.884,7,37,44,112,21,4,52,56,360
1982-83,34,MIL,NBA,PG,66,0,922,169,375,.451,6,31,.194,163,344,.474,.459,68,76,.895,14,65,79,127,27,0,44,44,412
1983-84,35,TOT,NBA,PG,15,0,215,20,52,.385,1,6,.167,19,46,.413,.394,12,16,.750,5,15,20,38,8,0,10,11,53
1983-84,35,MIL,NBA,PG,6,0,107,11,30,.367,1,6,.167,10,24,.417,.383,7,11,.636,2,7,9,17,5,0,4,7,30
1983-84,35,ATL,NBA,PG,9,0,108,9,22,.409,0,0,0,9,22,.409,.409,5,5,1.000,3,8,11,21,3,0,6,4,23
1984-85,36,ATL,NBA,PG,4,2,115,7,17,.412,0,2,.000,7,15,.467,.412,4,6,.667,2,12,14,22,3,0,11,5,18
