Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,21,PHO,NBA,SG,60,10,590,90,217,.415,11,42,.262,79,175,.451,.440,49,60,.817,27,75,102,43,10,5,40,77,240
1996-97,22,MIN,NBA,SG,55,10,830,125,271,.461,31,88,.352,94,183,.514,.518,56,73,.767,31,82,113,48,24,10,37,93,337
1997-98,23,MIN,NBA,SG,51,40,1165,190,452,.420,40,127,.315,150,325,.462,.465,84,99,.848,43,112,155,85,17,11,69,129,504
1998-99,24,TOT,NBA,SG,39,4,445,76,205,.371,28,75,.373,48,130,.369,.439,27,40,.675,23,48,71,23,8,2,28,45,207
1998-99,24,MIN,NBA,SG,11,2,81,9,26,.346,3,9,.333,6,17,.353,.404,2,4,.500,0,12,12,7,1,1,4,9,23
1998-99,24,NJN,NBA,SG,28,2,364,67,179,.374,25,66,.379,42,113,.372,.444,25,36,.694,23,36,59,16,7,1,24,36,184
1999-00,25,TOT,NBA,SF-SG,57,2,1166,196,496,.395,32,101,.317,164,395,.415,.427,107,125,.856,41,132,173,84,30,15,117,113,531
1999-00,25,GSW,NBA,SG,7,0,74,11,33,.333,1,8,.125,10,25,.400,.348,16,19,.842,5,8,13,3,0,1,5,12,39
1999-00,25,CHI,NBA,SF,50,2,1092,185,463,.400,31,93,.333,154,370,.416,.433,91,106,.858,36,124,160,81,30,14,112,101,492
2000-01,26,BOS,NBA,SG,35,0,309,53,112,.473,17,37,.459,36,75,.480,.549,46,60,.767,11,33,44,11,4,3,19,45,169
