Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,24,CLE,NBA,SF,79,18,2022,284,677,.419,38,122,.311,246,555,.443,.448,137,176,.778,134,267,401,128,54,50,89,232,743
1994-95,25,CLE,NBA,SF,80,79,2814,359,855,.420,94,240,.392,265,615,.431,.475,174,213,.817,99,267,366,154,59,35,120,242,986
1995-96,26,CLE,NBA,SF,80,80,3060,454,971,.468,79,210,.376,375,761,.493,.508,218,263,.829,112,331,443,188,73,52,121,241,1205
1996-97,27,CLE,NBA,SF,80,79,3167,405,894,.453,86,220,.391,319,674,.473,.501,176,209,.842,118,379,497,198,86,41,120,222,1072
1997-98,28,NYK,NBA,SF,80,29,2183,292,675,.433,40,137,.292,252,538,.468,.462,152,189,.804,120,288,408,133,45,30,107,218,776
1998-99,29,GSW,NBA,SF,47,24,1395,186,453,.411,32,115,.278,154,338,.456,.446,79,96,.823,49,188,237,103,39,14,58,125,483
1999-00,30,GSW,NBA,SF,20,11,649,123,292,.421,8,30,.267,115,262,.439,.435,68,84,.810,46,77,123,47,18,4,25,60,322
2000-01,31,GSW,NBA,SF,15,8,493,71,191,.372,7,25,.280,64,166,.386,.390,31,36,.861,24,69,93,18,9,5,20,43,180
2001-02,32,GSW,NBA,SF,66,0,1237,178,427,.417,48,127,.378,130,300,.433,.473,85,107,.794,51,139,190,72,31,13,56,120,489
2002-03,33,GSW,NBA,PF,21,0,262,39,106,.368,7,25,.280,32,81,.395,.401,16,18,.889,19,31,50,22,7,3,10,29,101
