Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,22,SAS,NBA,PG,40,4,339,25,82,.305,10,30,.333,15,52,.288,.366,12,15,.800,5,24,29,53,11,1,37,53,72
1994-95,23,SAS,NBA,PG,25,0,179,14,47,.298,3,19,.158,11,28,.393,.330,11,11,1.000,4,9,13,28,4,0,18,34,42
1995-96,24,WSB,NBA,PG,21,0,335,45,99,.455,19,44,.432,26,55,.473,.551,41,44,.932,2,31,33,51,18,1,23,46,150
1996-97,25,WSB,NBA,PG,82,1,1117,139,330,.421,58,163,.356,81,167,.485,.509,94,113,.832,13,91,104,182,49,4,68,100,430
1997-98,26,WAS,NBA,PG,82,6,1073,126,355,.355,52,169,.308,74,186,.398,.428,118,129,.915,16,99,115,196,34,6,65,106,422
1998-99,27,WAS,NBA,PG,39,1,441,64,156,.410,32,95,.337,32,61,.525,.513,27,31,.871,8,39,47,69,18,2,36,49,187
1999-00,28,WAS,NBA,PG,82,15,1627,217,521,.417,96,255,.376,121,266,.455,.509,112,132,.848,20,114,134,313,55,5,107,166,642
2000-01,29,WAS,NBA,PG,59,31,1532,182,470,.387,93,248,.375,89,222,.401,.486,101,113,.894,12,94,106,248,55,3,103,150,558
2001-02,30,WAS,NBA,PG,82,81,2171,274,656,.418,131,323,.406,143,333,.429,.518,154,175,.880,11,141,152,314,72,6,85,182,833
2002-03,31,TOT,NBA,PG,51,21,1052,124,349,.355,50,164,.305,74,185,.400,.427,57,69,.826,3,64,67,145,29,2,71,92,355
2002-03,31,DEN,NBA,PG,29,20,762,94,261,.360,43,128,.336,51,133,.383,.443,46,57,.807,1,45,46,124,17,1,55,77,277
2002-03,31,ORL,NBA,PG,22,1,290,30,88,.341,7,36,.194,23,52,.442,.381,11,12,.917,2,19,21,21,12,1,16,15,78
2003-04,32,WAS,NBA,PG,16,5,186,17,45,.378,8,18,.444,9,27,.333,.467,5,5,1.000,3,12,15,14,6,2,6,6,47
