Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,24,ATL,NBA,PG,50,0,515,70,170,.412,22,61,.361,48,109,.440,.476,21,26,.808,9,34,43,85,14,2,53,66,183
2003-04,25,TOT,NBA,PG,43,0,294,37,98,.378,10,30,.333,27,68,.397,.429,11,14,.786,7,19,26,38,17,0,26,44,95
2003-04,25,ATL,NBA,PG,23,0,143,21,49,.429,3,10,.300,18,39,.462,.459,4,6,.667,4,12,16,18,9,0,13,22,49
2003-04,25,POR,NBA,PG,20,0,151,16,49,.327,7,20,.350,9,29,.310,.398,7,8,.875,3,7,10,20,8,0,13,22,46
2004-05,26,TOT,NBA,PG,71,46,2090,306,756,.405,85,245,.347,221,511,.432,.461,190,228,.833,34,146,180,347,76,4,145,201,887
2004-05,26,DAL,NBA,PG,4,0,16,1,8,.125,1,3,.333,0,5,.000,.188,2,3,.667,0,1,1,1,0,0,1,1,5
2004-05,26,NOH,NBA,PG,67,46,2074,305,748,.408,84,242,.347,221,506,.437,.464,188,225,.836,34,145,179,346,76,4,144,200,882
2005-06,27,BOS,NBA,PG,19,0,234,17,46,.370,10,20,.500,7,26,.269,.478,18,18,1.000,5,11,16,40,11,1,18,40,62
2006-07,28,POR,NBA,PG,50,3,444,54,151,.358,16,61,.262,38,90,.422,.411,42,53,.792,7,36,43,70,14,1,27,55,166
2007-08,29,LAC,NBA,PG,67,8,1040,124,296,.419,36,108,.333,88,188,.468,.480,68,82,.829,13,84,97,172,32,3,55,108,352
