Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,KEN,ABA,C,83,0,3274,938,1934,.485,0,15,.000,938,1919,.489,.485,604,748,.807,421,672,1093,162,0,0,221,323,2480
1971-72,23,KEN,ABA,PF,83,0,3570,972,2001,.486,3,11,.273,969,1990,.487,.487,591,753,.785,353,578,931,195,0,0,244,242,2538
1972-73,24,KEN,ABA,PF,84,0,3531,902,1757,.513,3,15,.200,899,1742,.516,.514,485,635,.764,329,593,922,220,0,0,216,255,2292
1973-74,25,KEN,ABA,PF,83,0,3347,829,1726,.480,3,17,.176,826,1709,.483,.481,457,581,.787,346,501,847,137,69,32,171,199,2118
1974-75,26,KEN,ABA,PF,83,0,2864,614,1303,.471,0,5,.000,614,1298,.473,.471,237,321,.738,258,452,710,188,76,48,157,197,1465
1975-76,27,DNA,ABA,C,84,0,2856,752,1472,.511,1,4,.250,751,1468,.512,.511,425,521,.816,303,620,923,201,100,56,200,266,1930
1976-77,28,DEN,NBA,C,79,0,2507,660,1282,.515,0,0,0,660,1282,.515,.515,445,558,.797,211,485,696,177,91,29,0,246,1765
1977-78,29,DEN,NBA,C,82,0,2851,659,1287,.512,0,0,0,659,1287,.512,.512,428,547,.782,253,577,830,304,100,41,259,279,1746
1978-79,30,DEN,NBA,C,81,0,2742,532,1030,.517,0,0,0,532,1030,.517,.517,316,419,.754,240,498,738,255,61,46,171,233,1380
1979-80,31,DEN,NBA,C,82,0,2938,715,1416,.505,4,12,.333,711,1404,.506,.506,517,667,.775,236,483,719,198,88,54,163,190,1951
1980-81,32,DEN,NBA,C,80,0,2641,614,1220,.503,2,12,.167,612,1208,.507,.504,519,684,.759,229,447,676,158,83,53,130,249,1749
1981-82,33,DEN,NBA,C,81,81,2472,651,1236,.527,4,6,.667,647,1230,.526,.528,546,655,.834,174,434,608,179,67,55,169,245,1852
1982-83,34,DEN,NBA,C,80,80,2431,661,1296,.510,4,19,.211,657,1277,.514,.512,400,479,.835,151,445,596,223,83,43,174,227,1726
1983-84,35,DEN,NBA,C,76,66,2076,569,1153,.493,4,19,.211,565,1134,.498,.495,364,428,.850,112,401,513,173,60,44,122,182,1506
1984-85,36,DEN,NBA,C,77,9,1684,363,791,.459,1,7,.143,362,784,.462,.460,257,319,.806,80,251,331,137,65,31,93,171,984
