Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,22,BOS,NBA,SG,53,1,564,79,221,.357,5,17,.294,74,204,.363,.369,56,65,.862,25,31,56,87,37,3,53,86,219
1982-83,23,BOS,NBA,SG,80,76,2048,357,720,.496,5,29,.172,352,691,.509,.499,72,97,.742,83,131,214,251,109,6,98,259,791
1983-84,24,BOS,NBA,SG,71,3,1154,166,361,.460,6,22,.273,160,339,.472,.468,46,56,.821,29,87,116,162,41,4,70,143,384
1984-85,25,BOS,NBA,SG,75,73,2564,419,792,.529,15,56,.268,404,736,.549,.539,118,136,.868,76,192,268,399,122,6,149,228,971
1985-86,26,BOS,NBA,SG,80,78,2407,353,701,.504,26,73,.356,327,628,.521,.522,123,136,.904,47,188,235,405,94,7,129,204,855
1986-87,27,BOS,NBA,SG,71,66,2499,410,844,.486,85,192,.443,325,652,.498,.536,148,165,.897,49,193,242,400,101,14,141,189,1053
1987-88,28,BOS,NBA,SG,81,81,3018,482,982,.491,148,357,.415,334,625,.534,.566,158,180,.878,59,190,249,503,115,17,153,203,1270
1988-89,29,TOT,NBA,PG,73,54,2377,480,1051,.457,116,305,.380,364,746,.488,.512,205,240,.854,71,184,255,402,93,8,145,186,1281
1988-89,29,BOS,NBA,PG,45,28,1349,271,589,.460,58,155,.374,213,434,.491,.509,114,128,.891,37,117,154,215,52,1,82,108,714
1988-89,29,SAC,NBA,PG,28,26,1028,209,462,.452,58,150,.387,151,312,.484,.515,91,112,.813,34,67,101,187,41,7,63,78,567
1989-90,30,SAC,NBA,PG,75,68,2727,506,1154,.438,108,289,.374,398,865,.460,.485,222,267,.831,69,257,326,453,113,18,185,238,1342
1990-91,31,POR,NBA,SG,80,0,1710,337,714,.472,102,251,.406,235,463,.508,.543,114,138,.826,45,160,205,285,63,13,100,195,890
1991-92,32,POR,NBA,SG,81,6,1595,299,676,.442,78,230,.339,221,446,.496,.500,108,131,.824,40,108,148,202,73,13,70,148,784
1992-93,33,PHO,NBA,SG,80,0,2163,337,730,.462,150,372,.403,187,358,.522,.564,123,145,.848,49,165,214,260,69,8,113,175,947
1993-94,34,PHO,NBA,SG,68,1,1555,224,537,.417,80,244,.328,144,293,.491,.492,78,94,.830,28,103,131,180,57,8,81,140,606
1994-95,35,PHO,NBA,SG,74,1,1374,194,422,.460,78,214,.364,116,208,.558,.552,105,130,.808,25,84,109,210,46,7,79,155,571
