Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,24,CLE,NBA,PF,81,2,1661,275,643,.428,23,77,.299,252,566,.445,.446,124,152,.816,99,187,286,142,43,25,120,230,697
1991-92,25,CLE,NBA,PF,68,1,937,134,328,.409,17,48,.354,117,280,.418,.434,61,73,.836,53,160,213,75,22,15,46,135,346
1992-93,26,CLE,NBA,PF,76,1,1461,220,459,.479,34,82,.415,186,377,.493,.516,99,113,.876,81,198,279,137,29,49,83,171,573
1993-94,27,CLE,NBA,PF,70,1,965,149,334,.446,14,51,.275,135,283,.477,.467,38,43,.884,47,94,141,74,28,22,41,113,350
1994-95,28,CLE,NBA,PF,82,6,1290,223,500,.446,94,233,.403,129,267,.483,.540,74,84,.881,30,113,143,96,27,22,59,131,614
1995-96,29,CLE,NBA,PF,82,79,2680,422,919,.459,143,363,.394,279,556,.502,.537,103,134,.769,71,238,309,191,57,37,122,233,1090
1996-97,30,CLE,NBA,PF,82,48,2633,341,794,.429,114,284,.401,227,510,.445,.501,74,87,.851,82,255,337,151,56,32,94,245,870
1997-98,31,CLE,NBA,PF,69,3,1034,113,286,.395,33,99,.333,80,187,.428,.453,32,40,.800,23,91,114,59,26,17,53,118,291
1998-99,32,CLE,NBA,PF,50,10,1058,141,296,.476,38,97,.392,103,199,.518,.541,29,33,.879,16,86,102,53,23,10,39,113,349
1999-00,33,CLE,NBA,PF,63,3,1326,189,380,.497,33,75,.440,156,305,.511,.541,52,57,.912,55,183,238,67,22,24,55,181,463
2000-01,34,SAS,NBA,SF,80,29,1688,178,375,.475,70,156,.449,108,219,.493,.568,22,30,.733,55,168,223,71,28,21,50,169,448
2001-02,35,SAS,NBA,SF,50,2,799,76,177,.429,43,99,.434,33,78,.423,.551,34,36,.944,15,75,90,48,16,9,22,70,229
2002-03,36,SAS,NBA,SF,64,1,601,44,124,.355,21,60,.350,23,64,.359,.440,10,13,.769,20,55,75,21,7,9,27,55,119
