Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,21,DEN,NBA,PF,80,23,1811,276,611,.452,1,3,.333,275,608,.452,.453,263,339,.776,182,266,448,76,44,30,157,314,816
1998-99,22,DEN,NBA,PF,50,38,1417,191,386,.495,0,3,.000,191,383,.499,.495,168,231,.727,210,371,581,32,31,22,77,212,550
1999-00,23,BOS,NBA,PF,55,5,856,140,265,.528,0,0,0,140,265,.528,.528,139,189,.735,141,225,366,29,20,5,67,180,419
2000-01,24,GSW,NBA,PF,6,6,203,29,50,.580,0,0,0,29,50,.580,.580,42,54,.778,29,69,98,5,2,0,10,22,100
2001-02,25,GSW,NBA,PF,77,76,2216,309,722,.428,1,4,.250,308,718,.429,.429,245,308,.795,290,609,899,127,44,17,160,255,864
2002-03,26,GSW,NBA,PF,17,0,223,20,54,.370,0,1,.000,20,53,.377,.370,19,29,.655,28,45,73,12,9,0,15,43,59
2003-04,27,DAL,NBA,C,56,20,625,71,139,.511,0,0,0,71,139,.511,.511,75,92,.815,114,136,250,9,12,11,37,148,217
2004-05,28,SEA,NBA,C,62,0,1047,118,226,.522,0,0,0,118,226,.522,.522,227,258,.880,157,191,348,8,15,7,91,265,463
2005-06,29,SEA,NBA,C,23,1,276,27,51,.529,0,0,0,27,51,.529,.529,33,43,.767,31,47,78,2,4,2,26,76,87
2006-07,30,SEA,NBA,C,14,6,158,15,30,.500,0,1,.000,15,29,.517,.500,10,13,.769,13,30,43,1,1,0,15,38,40
