Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,23,MIN,NBA,PG,34,9,803,95,233,.408,7,38,.184,88,195,.451,.423,57,65,.877,14,50,64,133,34,0,62,88,254
1995-96,24,TOT,NBA,PG,59,16,1149,147,362,.406,20,69,.290,127,293,.433,.434,101,120,.842,16,66,82,217,53,3,107,123,415
1995-96,24,VAN,NBA,PG,24,0,402,59,131,.450,5,22,.227,54,109,.495,.469,38,46,.826,13,25,38,61,27,1,37,47,161
1995-96,24,MIN,NBA,PG,35,16,747,88,231,.381,15,47,.319,73,184,.397,.413,63,74,.851,3,41,44,156,26,2,70,76,254
1996-97,25,LAC,NBA,PG,82,64,1820,292,718,.407,91,234,.389,201,484,.415,.470,218,250,.872,26,87,113,339,57,2,127,165,893
1997-98,26,LAC,NBA,PG,82,63,2299,275,730,.377,107,293,.365,168,437,.384,.450,184,217,.848,19,145,164,331,82,10,154,198,841
1998-99,27,LAC,NBA,PG,37,25,941,102,278,.367,31,106,.292,71,172,.413,.423,61,76,.803,5,43,48,144,43,4,67,82,296
1999-00,28,SAC,NBA,PG,71,1,893,133,350,.380,38,124,.306,95,226,.420,.434,98,119,.824,7,37,44,122,28,2,62,89,402
2000-01,29,SAC,NBA,PG,31,0,176,29,76,.382,14,27,.519,15,49,.306,.474,31,35,.886,2,14,16,14,7,0,10,27,103
2001-02,30,DAL,NBA,PG,3,0,22,0,10,.000,0,2,.000,0,8,.000,.000,1,2,.500,0,1,1,3,2,0,1,4,1
2002-03,31,"Did Not Play(other pro leagueItaly, Russia)"
2003-04,32,MIN,NBA,PG,16,0,172,20,67,.299,6,26,.231,14,41,.341,.343,9,9,1.000,2,5,7,23,2,1,7,23,55
2004-05,33,LAC,NBA,PG,11,0,190,16,50,.320,5,18,.278,11,32,.344,.370,5,8,.625,3,7,10,28,6,0,6,19,42
2005-06,34,TOR,NBA,PG,40,0,339,34,97,.351,16,40,.400,18,57,.316,.433,18,24,.750,2,18,20,57,17,0,15,42,102
2006-07,35,TOR,NBA,PG,31,0,220,33,94,.351,13,37,.351,20,57,.351,.420,15,21,.714,2,10,12,43,3,0,12,22,94
2007-08,36,TOR,NBA,PG,17,0,141,10,43,.233,2,16,.125,8,27,.296,.256,5,6,.833,3,4,7,21,6,0,1,12,27
