Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,23,TOT,NBA,C,39,8,642,84,183,.459,0,1,.000,84,182,.462,.459,54,62,.871,58,116,174,32,13,6,37,87,222
1987-88,23,MIL,NBA,C,3,0,35,4,11,.364,0,0,0,4,11,.364,.364,3,3,1.000,4,3,7,2,0,0,2,3,11
1987-88,23,GSW,NBA,C,36,8,607,80,172,.465,0,1,.000,80,171,.468,.465,51,59,.864,54,113,167,30,13,6,35,84,211
1988-89,24,CHH,NBA,C,77,36,1419,199,353,.564,1,2,.500,198,351,.564,.565,101,139,.727,123,261,384,57,25,21,77,239,500
1989-90,25,CHH,NBA,C,10,2,135,16,41,.390,0,0,0,16,41,.390,.390,8,10,.800,19,17,36,6,2,1,8,26,40
1990-91,26,TOT,NBA,C,30,0,155,24,44,.545,0,2,.000,24,42,.571,.545,16,22,.727,18,21,39,3,3,1,13,29,64
1990-91,26,CHH,NBA,C,19,0,112,18,32,.563,0,1,.000,18,31,.581,.563,8,10,.800,14,16,30,3,2,1,12,18,44
1990-91,26,PHI,NBA,C,11,0,43,6,12,.500,0,1,.000,6,11,.545,.500,8,12,.667,4,5,9,0,1,0,1,11,20
1991-92,27,PHI,NBA,C,11,0,40,2,7,.286,0,0,0,2,7,.286,.286,5,10,.500,1,9,10,2,0,0,3,6,9
1992-93,28,NJN,NBA,C,2,0,10,1,1,1.000,0,0,0,1,1,1.000,1.000,0,2,.000,1,3,4,0,0,0,0,2,2
