Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,25,DEN,NBA,C,71,71,2716,428,869,.493,0,0,0,428,869,.493,.493,321,500,.642,316,554,870,156,43,210,252,273,1177
1992-93,26,DEN,NBA,C,82,82,3029,398,781,.510,0,0,0,398,781,.510,.510,335,492,.681,344,726,1070,147,43,287,216,284,1131
1993-94,27,DEN,NBA,C,82,82,2853,365,642,.569,0,1,.000,365,641,.569,.569,256,439,.583,286,685,971,127,59,336,206,262,986
1994-95,28,DEN,NBA,C,82,82,3100,349,628,.556,0,0,0,349,628,.556,.556,248,379,.654,319,710,1029,113,40,321,192,284,946
1995-96,29,DEN,NBA,C,74,74,2713,284,569,.499,0,1,.000,284,568,.500,.499,246,354,.695,249,622,871,108,38,332,150,258,814
1996-97,30,ATL,NBA,C,80,80,2973,380,721,.527,0,0,0,380,721,.527,.527,306,434,.705,268,661,929,110,49,264,186,249,1066
1997-98,31,ATL,NBA,C,82,82,2917,399,743,.537,0,0,0,399,743,.537,.537,303,452,.670,276,656,932,82,34,277,168,254,1101
1998-99,32,ATL,NBA,C,50,50,1829,173,338,.512,0,0,0,173,338,.512,.512,195,285,.684,192,418,610,57,16,147,94,145,541
1999-00,33,ATL,NBA,C,82,82,2984,322,573,.562,0,0,0,322,573,.562,.562,298,421,.708,304,853,1157,105,27,269,174,248,942
2000-01,34,TOT,NBA,C,75,75,2591,269,556,.484,0,0,0,269,556,.484,.484,211,291,.725,307,708,1015,76,29,203,144,204,749
2000-01,34,ATL,NBA,C,49,49,1716,169,354,.477,0,0,0,169,354,.477,.477,107,154,.695,188,505,693,54,20,137,92,139,445
2000-01,34,PHI,NBA,C,26,26,875,100,202,.495,0,0,0,100,202,.495,.495,104,137,.759,119,203,322,22,9,66,52,65,304
2001-02,35,PHI,NBA,C,80,80,2907,321,641,.501,0,0,0,321,641,.501,.501,278,364,.764,254,609,863,83,29,190,156,242,920
2002-03,36,NJN,NBA,C,24,16,514,49,131,.374,0,0,0,49,131,.374,.374,40,55,.727,54,99,153,19,4,37,34,54,138
2003-04,37,NYK,NBA,C,65,56,1494,141,295,.478,0,0,0,141,295,.478,.478,81,119,.681,145,292,437,25,17,123,54,141,363
2004-05,38,HOU,NBA,C,80,2,1212,108,217,.498,0,0,0,108,217,.498,.498,106,143,.741,150,276,426,10,16,101,51,135,322
2005-06,39,HOU,NBA,C,64,23,955,50,95,.526,0,0,0,50,95,.526,.526,69,91,.758,100,206,306,4,17,57,35,128,169
2006-07,40,HOU,NBA,C,75,33,1289,85,153,.556,0,0,0,85,153,.556,.556,60,87,.690,164,324,488,13,22,76,38,156,230
2007-08,41,HOU,NBA,C,39,25,619,43,80,.538,0,0,0,43,80,.538,.538,32,45,.711,68,131,199,5,11,48,17,55,118
2008-09,42,HOU,NBA,C,9,2,96,5,13,.385,0,0,0,5,13,.385,.385,6,9,.667,12,21,33,0,0,11,6,11,16
