Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1962-63,22,CHZ,NBA,SF,62,0,1071,129,293,.440,0,0,0,129,293,.440,.440,161,221,.729,0,0,279,72,0,0,0,136,419
1963-64,23,LAL,NBA,SF,80,0,1406,135,323,.418,0,0,0,135,323,.418,.418,149,201,.741,0,0,323,76,0,0,0,181,419
1964-65,24,LAL,NBA,SF,39,0,238,36,85,.424,0,0,0,36,85,.424,.424,20,26,.769,0,0,73,24,0,0,0,40,92
1965-66,25,BOS,NBA,SF,75,0,1765,271,618,.439,0,0,0,271,618,.439,.439,223,326,.684,0,0,403,79,0,0,0,187,765
1966-67,26,BOS,NBA,SF,79,0,1202,227,509,.446,0,0,0,227,509,.446,.446,141,190,.742,0,0,295,65,0,0,0,143,595
1967-68,27,BOS,NBA,SF,82,0,1498,312,632,.494,0,0,0,312,632,.494,.494,195,268,.728,0,0,431,103,0,0,0,178,819
1968-69,28,BOS,NBA,SF,82,0,1773,374,771,.485,0,0,0,374,771,.485,.485,201,259,.776,0,0,458,92,0,0,0,198,949
1969-70,29,BOS,NBA,PF,82,0,2224,461,920,.501,0,0,0,461,920,.501,.501,337,435,.775,0,0,601,148,0,0,0,238,1259
1970-71,30,BOS,NBA,SF,82,0,2254,412,881,.468,0,0,0,412,881,.468,.468,317,426,.744,0,0,565,153,0,0,0,232,1141
1971-72,31,BOS,NBA,PF,82,0,2086,389,811,.480,0,0,0,389,811,.480,.480,356,452,.788,0,0,453,192,0,0,0,220,1134
1972-73,32,BOS,NBA,SF,72,0,1425,309,649,.476,0,0,0,309,649,.476,.476,159,188,.846,0,0,315,102,0,0,0,155,777
1973-74,33,BOS,NBA,SF,82,0,1748,364,717,.508,0,0,0,364,717,.508,.508,215,273,.788,90,255,345,162,19,13,0,189,943
1974-75,34,BOS,NBA,SF,79,0,2052,423,785,.539,0,0,0,423,785,.539,.539,263,318,.827,127,342,469,181,32,15,0,239,1109
1975-76,35,BOS,NBA,SF,75,0,943,175,379,.462,0,0,0,175,379,.462,.462,127,161,.789,56,126,182,77,14,7,0,115,477
