Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,SAC,NBA,C,76,55,1719,210,413,.508,0,0,0,210,413,.508,.508,105,165,.636,141,250,391,69,49,148,96,225,525
1991-92,23,SAC,NBA,C,80,77,2291,250,455,.549,0,1,.000,250,454,.551,.549,136,222,.613,196,384,580,59,47,215,124,281,636
1992-93,24,SAC,NBA,C,55,45,1211,175,321,.545,0,1,.000,175,320,.547,.545,103,165,.624,112,191,303,35,32,87,58,192,453
1993-94,25,SAC,NBA,C,41,8,674,71,137,.518,0,0,0,71,137,.518,.518,40,68,.588,68,118,186,11,19,49,33,109,182
1994-95,26,SAC,NBA,C,58,24,820,76,147,.517,0,1,.000,76,146,.521,.517,57,98,.582,57,117,174,15,14,80,33,146,209
1995-96,27,SAC,NBA,C,73,26,1044,90,216,.417,0,1,.000,90,215,.419,.417,70,96,.729,86,162,248,20,27,78,53,173,250
1996-97,28,SAC,NBA,C,46,8,581,48,94,.511,2,3,.667,46,91,.505,.521,20,37,.541,57,70,127,20,15,38,34,131,118
1997-98,29,MIA,NBA,C,37,2,363,37,89,.416,0,0,0,37,89,.416,.416,15,26,.577,29,70,99,5,7,27,18,73,89
1998-99,30,MIA,NBA,C,19,1,137,20,35,.571,0,0,0,20,35,.571,.571,4,12,.333,14,21,35,2,0,11,18,32,44
1999-00,31,MIA,NBA,C,25,2,185,20,37,.541,0,0,0,20,37,.541,.541,26,38,.684,11,36,47,2,2,16,10,42,66
2000-01,32,MIA,NBA,C,31,14,384,32,85,.376,0,0,0,32,85,.376,.376,12,25,.480,23,60,83,5,8,18,23,67,76
