Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,23,ATL,NBA,SF,41,0,231,35,83,.422,0,0,0,35,83,.422,.422,30,44,.682,19,22,41,10,7,6,12,33,100
1989-90,24,ATL,NBA,SF,14,0,29,5,14,.357,0,1,.000,5,13,.385,.357,2,6,.333,3,4,7,2,1,0,2,3,12
1990-91,25,ATL,NBA,SF,78,2,1165,174,356,.489,2,3,.667,172,353,.487,.492,125,156,.801,97,82,179,55,33,27,78,151,475
1991-92,26,ATL,NBA,SF,66,12,1598,331,632,.524,11,33,.333,320,599,.534,.532,166,218,.761,105,105,210,92,49,17,99,134,839
1992-93,27,ATL,NBA,SF,82,15,1736,327,696,.470,9,36,.250,318,660,.482,.476,176,226,.779,97,94,191,132,59,17,103,160,839
1993-94,28,ATL,NBA,SF,72,13,1155,184,379,.485,1,9,.111,183,370,.495,.487,144,184,.783,62,67,129,65,44,16,64,85,513
1994-95,29,IND,NBA,SF,56,1,607,83,173,.480,1,6,.167,82,167,.491,.483,64,85,.753,50,38,88,31,26,6,43,79,231
1995-96,30,IND,NBA,SF,54,6,591,80,166,.482,0,8,.000,80,158,.506,.482,42,57,.737,32,61,93,30,23,3,34,83,202
1996-97,31,IND,NBA,SF,62,18,1115,159,337,.472,18,44,.409,141,293,.481,.499,58,94,.617,57,84,141,66,38,6,55,120,394
1997-98,32,GSW,NBA,SF,50,5,461,41,111,.369,0,6,.000,41,105,.390,.369,12,22,.545,25,22,47,26,21,6,18,50,94
1998-99,33,GSW,NBA,SF,8,0,46,1,14,.071,0,0,0,1,14,.071,.071,3,4,.750,5,1,6,0,1,1,1,4,5
