Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1963-64,23,DET,NBA,SG,60,0,811,131,371,.353,0,0,0,131,371,.353,.353,62,87,.713,0,0,95,58,0,0,0,92,324
1964-65,24,DET,NBA,PG,76,0,2074,439,994,.442,0,0,0,439,994,.442,.442,166,223,.744,0,0,258,157,0,0,0,201,1044
1965-66,25,DET,NBA,PG,80,0,2788,634,1418,.447,0,0,0,634,1418,.447,.447,298,402,.741,0,0,302,221,0,0,0,203,1566
1966-67,26,DET,NBA,SG,81,0,2419,582,1363,.427,0,0,0,582,1363,.427,.427,261,338,.772,0,0,298,181,0,0,0,216,1425
1967-68,27,DET,NBA,SG,76,0,2303,561,1180,.475,0,0,0,561,1180,.475,.475,282,369,.764,0,0,264,215,0,0,0,200,1404
1968-69,28,DET,NBA,SG,80,0,2252,441,983,.449,0,0,0,441,983,.449,.449,182,273,.667,0,0,283,180,0,0,0,201,1064
1969-70,29,TOT,NBA,SG,47,0,1295,238,541,.440,0,0,0,238,541,.440,.440,133,175,.760,0,0,177,86,0,0,0,107,609
1969-70,29,DET,NBA,SG,44,0,1243,231,531,.435,0,0,0,231,531,.435,.435,130,170,.765,0,0,173,82,0,0,0,99,592
1969-70,29,BAL,NBA,SG,3,0,52,7,10,.700,0,0,0,7,10,.700,.700,3,5,.600,0,0,4,4,0,0,0,8,17
1970-71,30,BAL,NBA,SG,63,0,1541,252,591,.426,0,0,0,252,591,.426,.426,118,147,.803,0,0,167,110,0,0,0,119,622
1971-72,31,NYK,NBA,SG,42,0,198,23,64,.359,0,0,0,23,64,.359,.359,16,18,.889,0,0,16,17,0,0,0,46,62
