Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,27,DEN,NBA,SG,3,0,13,1,6,.167,0,1,.000,1,5,.200,.167,4,4,1.000,0,2,2,1,3,0,2,0,6
1995-96,28,HOU,NBA,SG,63,27,1275,149,359,.415,81,191,.424,68,168,.405,.528,57,66,.864,31,113,144,170,23,5,61,111,436
1996-97,29,ATL,NBA,SG,71,4,1207,148,350,.423,58,140,.414,90,210,.429,.506,51,58,.879,35,80,115,94,38,4,65,97,405
1997-98,30,ATL,NBA,SG,59,14,1454,206,452,.456,62,148,.419,144,304,.474,.524,74,79,.937,32,110,142,117,41,1,91,94,548
1998-99,31,CHH,NBA,PG,44,2,708,82,184,.446,24,60,.400,58,124,.468,.511,34,39,.872,20,57,77,91,17,1,58,66,222
1999-00,32,CHH,NBA,PG,7,0,28,3,7,.429,1,4,.250,2,3,.667,.500,0,0,0,0,4,4,5,0,0,0,1,7
2000-01,33,CHH,NBA,PG,43,0,403,38,114,.333,13,39,.333,25,75,.333,.390,14,18,.778,13,37,50,39,6,1,27,30,103
2001-02,34,TOT,NBA,PG-SG,6,0,33,2,6,.333,0,1,.000,2,5,.400,.333,1,1,1.000,0,0,0,5,1,0,1,4,5
2001-02,34,CHH,NBA,SG,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2001-02,34,LAC,NBA,PG,5,0,31,2,6,.333,0,1,.000,2,5,.400,.333,1,1,1.000,0,0,0,5,1,0,1,3,5
