Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,22,UTA,NBA,C,75,0,779,120,220,.545,0,0,0,120,220,.545,.545,79,113,.699,48,151,199,16,8,22,69,174,319
1989-90,23,UTA,NBA,C,77,0,764,125,222,.563,0,0,0,125,222,.563,.563,81,109,.743,48,144,192,19,15,23,63,157,331
1990-91,24,TOT,NBA,C,72,2,1122,131,294,.446,0,0,0,131,294,.446,.446,62,111,.559,82,213,295,39,14,22,69,192,324
1990-91,24,SAC,NBA,C,32,0,378,39,96,.406,0,0,0,39,96,.406,.406,16,27,.593,27,60,87,18,4,11,25,69,94
1990-91,24,CHH,NBA,C,40,2,744,92,198,.465,0,0,0,92,198,.465,.465,46,84,.548,55,153,208,21,10,11,44,123,230
1991-92,25,CHH,NBA,C,59,2,716,79,154,.513,0,1,.000,79,153,.516,.513,38,51,.745,49,157,206,31,9,18,39,114,196
1992-93,26,Did Not Play(other pro leagueItaly)
1993-94,27,PHI,NBA,C,71,36,1163,139,286,.486,0,2,.000,139,284,.489,.486,84,130,.646,75,207,282,86,18,34,86,190,362
1994-95,28,DET,NBA,C,57,11,623,87,165,.527,0,2,.000,87,163,.534,.527,51,72,.708,47,127,174,14,15,15,39,122,225
1995-96,29,DET,NBA,C,18,8,155,18,29,.621,0,0,0,18,29,.621,.621,8,13,.615,8,26,34,1,2,4,11,30,44
1996-97,30,TOT,NBA,C,20,1,126,14,33,.424,0,0,0,14,33,.424,.424,6,12,.500,5,31,36,5,3,2,10,35,34
1996-97,30,CHH,NBA,C,1,0,11,0,3,.000,0,0,0,0,3,.000,.000,0,0,0,0,1,1,1,0,0,0,3,0
1996-97,30,VAN,NBA,C,19,1,115,14,30,.467,0,0,0,14,30,.467,.467,6,12,.500,5,30,35,4,3,2,10,32,34
