Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,23,BOS,NBA,C,78,75,2315,307,575,.534,0,1,.000,307,574,.535,.534,167,263,.635,196,370,566,36,29,61,112,299,781
1995-96,24,BOS,NBA,C,61,59,1432,196,346,.566,0,0,0,196,346,.566,.566,50,133,.376,119,233,352,43,19,29,83,181,442
1996-97,25,TOT,NBA,C,78,77,1828,159,349,.456,0,0,0,159,349,.456,.456,21,62,.339,181,337,518,61,20,73,77,268,339
1996-97,25,DAL,NBA,C,47,46,984,86,187,.460,0,0,0,86,187,.460,.460,10,34,.294,66,170,236,32,9,34,51,150,182
1996-97,25,NJN,NBA,C,31,31,844,73,162,.451,0,0,0,73,162,.451,.451,11,28,.393,115,167,282,29,11,39,26,118,157
1997-98,26,TOT,NBA,C,48,30,691,61,144,.424,0,0,0,61,144,.424,.424,16,40,.400,69,130,199,11,13,27,29,127,138
1997-98,26,PHI,NBA,C,20,20,337,30,76,.395,0,0,0,30,76,.395,.395,7,19,.368,28,64,92,7,7,12,15,61,67
1997-98,26,DET,NBA,C,28,10,354,31,68,.456,0,0,0,31,68,.456,.456,9,21,.429,41,66,107,4,6,15,14,66,71
1998-99,27,DET,NBA,C,46,2,577,42,80,.525,0,1,.000,42,79,.532,.525,11,32,.344,45,94,139,14,12,27,16,107,95
1999-00,28,DET,NBA,C,51,0,332,17,55,.309,0,0,0,17,55,.309,.309,6,12,.500,18,54,72,7,6,9,22,81,40
2000-01,29,TOT,NBA,C,54,21,649,56,138,.406,0,0,0,56,138,.406,.406,8,31,.258,52,121,173,19,11,26,41,115,120
2000-01,29,DET,NBA,C,42,20,568,50,121,.413,0,0,0,50,121,.413,.413,7,26,.269,43,101,144,15,8,23,37,100,107
2000-01,29,TOR,NBA,C,12,1,81,6,17,.353,0,0,0,6,17,.353,.353,1,5,.200,9,20,29,4,3,3,4,15,13
2001-02,30,TOR,NBA,C,49,24,655,53,132,.402,0,1,.000,53,131,.405,.402,10,31,.323,36,104,140,16,12,23,25,92,116
