Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,23,WSB,NBA,PG,79,29,2027,336,812,.414,17,79,.215,319,733,.435,.424,153,204,.750,34,113,147,380,76,7,160,196,842
1982-83,24,WSB,NBA,PG,68,65,2324,321,786,.408,14,61,.230,307,725,.423,.417,196,261,.751,46,132,178,549,110,6,238,170,852
1983-84,25,WSB,NBA,PG,82,81,2686,392,840,.467,11,43,.256,381,797,.478,.473,187,252,.742,58,126,184,567,96,6,191,174,982
1984-85,26,WSB,NBA,PG,46,1,925,175,358,.489,6,17,.353,169,341,.496,.497,72,96,.750,23,40,63,143,43,3,59,72,428
1985-86,27,WSB,NBA,PG,14,9,402,69,154,.448,0,3,.000,69,151,.457,.448,38,54,.704,7,21,28,76,11,1,29,30,176
1986-87,28,WSB,NBA,PG,18,10,399,59,128,.461,0,1,.000,59,127,.465,.461,35,49,.714,10,20,30,58,21,0,31,31,153
1987-88,29,WSB,NBA,PG,75,17,1258,216,498,.434,1,9,.111,215,489,.440,.435,121,149,.812,39,82,121,188,70,4,99,120,554
1988-89,30,HOU,NBA,PG,67,0,879,109,246,.443,1,6,.167,108,240,.450,.445,75,93,.806,22,57,79,181,42,0,102,91,294
1989-90,31,Did Not Play(other pro leagueItaly)
1990-91,32,Did Not Play(other pro leagueItaly)
1991-92,33,"Did Not Play(other pro leagueItaly, France)"
1992-93,34,PHO,NBA,PG,77,0,1122,136,312,.436,1,12,.083,135,300,.450,.438,59,76,.776,41,72,113,186,60,8,80,112,332
1993-94,35,PHO,NBA,PG,70,5,875,134,299,.448,2,12,.167,132,287,.460,.452,54,69,.783,29,53,82,148,41,1,65,120,324
