Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,SEA,NBA,PF,65,0,1027,152,399,.381,0,0,0,152,399,.381,.381,82,125,.656,0,0,328,45,0,0,0,126,386
1971-72,23,SEA,NBA,PF,58,0,1499,190,474,.401,0,0,0,190,474,.401,.401,79,128,.617,0,0,442,55,0,0,0,126,459
1972-73,24,TOT,NBA,PF,81,0,1552,350,824,.425,0,0,0,350,824,.425,.425,116,178,.652,0,0,453,60,0,0,0,171,816
1972-73,24,SEA,NBA,PF,3,0,17,4,9,.444,0,0,0,4,9,.444,.444,1,1,1.000,0,0,6,2,0,0,0,4,9
1972-73,24,CHI,NBA,PF,78,0,1535,346,815,.425,0,0,0,346,815,.425,.425,115,177,.650,0,0,447,58,0,0,0,167,807
1973-74,25,BUF,NBA,PF,81,0,2889,524,1205,.435,0,0,0,524,1205,.435,.435,191,294,.650,270,677,947,180,136,230,0,300,1239
1974-75,26,BUF,NBA,PF,67,0,2148,318,819,.388,0,0,0,318,819,.388,.388,106,188,.564,185,481,666,190,106,120,0,242,742
1975-76,27,TOT,NBA,PF,86,0,2747,392,901,.435,0,0,0,392,901,.435,.435,158,248,.637,247,622,869,190,117,96,0,303,942
1975-76,27,BUF,NBA,PF,50,0,1527,207,492,.421,0,0,0,207,492,.421,.421,82,135,.607,138,373,511,126,66,55,0,183,496
1975-76,27,PHO,NBA,PF,36,0,1220,185,409,.452,0,0,0,185,409,.452,.452,76,113,.673,109,249,358,64,51,41,0,120,446
1976-77,28,PHO,NBA,PF,46,0,1363,173,457,.379,0,0,0,173,457,.379,.379,100,138,.725,120,320,440,89,55,55,0,139,446
1977-78,29,PHO,NBA,PF,80,0,2099,265,625,.424,0,0,0,265,625,.424,.424,90,147,.612,166,486,652,132,129,101,120,213,620
1978-79,30,PHO,NBA,PF,63,0,1213,162,367,.441,0,0,0,162,367,.441,.441,71,103,.689,98,253,351,60,53,57,60,141,395
1979-80,31,PHO,NBA,PF,82,0,1403,171,410,.417,0,2,.000,171,408,.419,.417,64,86,.744,118,262,380,97,84,49,88,177,406
1980-81,32,SDC,NBA,PF,78,0,1631,149,396,.376,0,7,.000,149,389,.383,.376,79,101,.782,120,228,348,122,104,72,81,196,377
