Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,WSB,NBA,PF,54,3,606,97,211,.460,0,5,.000,97,206,.471,.460,42,61,.689,52,99,151,37,12,22,45,112,236
1991-92,23,WSB,NBA,PF,49,3,548,89,193,.461,0,1,.000,89,192,.464,.461,35,49,.714,43,102,145,35,6,12,36,83,213
1992-93,24,TOT,NBA,PF,43,0,298,55,120,.458,0,4,.000,55,116,.474,.458,15,21,.714,32,51,83,21,3,14,25,58,125
1992-93,24,WSB,NBA,PF,10,0,93,11,25,.440,0,0,0,11,25,.440,.440,2,3,.667,8,19,27,11,0,5,9,17,24
1992-93,24,ATL,NBA,PF,33,0,205,44,95,.463,0,4,.000,44,91,.484,.463,13,18,.722,24,32,56,10,3,9,16,41,101
1993-94,25,MIL,NBA,PF,3,0,19,4,7,.571,0,0,0,4,7,.571,.571,2,2,1.000,0,3,3,0,0,1,1,3,10
1994-95,26,TOT,NBA,PF,78,3,1144,150,318,.472,7,23,.304,143,295,.485,.483,78,111,.703,85,174,259,39,15,28,71,183,385
1994-95,26,CHI,NBA,PF,17,3,299,41,86,.477,0,0,0,41,86,.477,.477,22,31,.710,18,36,54,16,2,8,17,54,104
1994-95,26,MIN,NBA,PF,61,0,845,109,232,.470,7,23,.304,102,209,.488,.485,56,80,.700,67,138,205,23,13,20,54,129,281
1995-96,27,UTA,NBA,C,73,2,803,107,244,.439,1,8,.125,106,236,.449,.441,61,72,.847,53,125,178,25,7,22,58,120,276
1996-97,28,UTA,NBA,C,79,12,920,111,245,.453,2,3,.667,109,242,.450,.457,54,65,.831,56,131,187,31,10,20,54,145,278
1997-98,29,UTA,NBA,C,78,49,1446,186,418,.445,2,9,.222,184,409,.450,.447,67,87,.770,85,188,273,51,15,28,68,187,441
1998-99,30,UTA,NBA,PF,42,1,458,52,138,.377,1,4,.250,51,134,.381,.380,13,21,.619,28,55,83,25,6,8,24,63,118
1999-00,31,SEA,NBA,PF,60,5,718,91,224,.406,3,15,.200,88,209,.421,.413,18,28,.643,16,91,107,41,10,18,28,105,203
2000-01,32,LAL,NBA,C,62,8,451,56,133,.421,3,9,.333,53,124,.427,.432,10,14,.714,29,83,112,32,9,12,25,76,125
2001-02,33,MIL,NBA,PF,6,0,24,2,9,.222,0,4,.000,2,5,.400,.222,3,4,.750,0,8,8,1,0,0,0,4,7
2002-03,34,TOR,NBA,C,29,9,539,47,122,.385,1,4,.250,46,118,.390,.389,26,32,.813,30,72,102,13,1,9,30,82,121
