Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,22,UTA,NBA,C,57,10,661,86,182,.473,0,0,0,86,182,.473,.473,36,54,.667,57,118,175,5,5,63,25,91,208
1996-97,23,UTA,NBA,C,77,70,1818,210,408,.515,0,4,.000,210,404,.520,.515,139,205,.678,180,385,565,27,24,152,74,233,559
1997-98,24,UTA,NBA,C,63,23,1288,115,239,.481,0,0,0,115,239,.481,.481,67,140,.479,134,240,374,25,28,132,74,166,297
1998-99,25,UTA,NBA,C,48,48,1340,99,208,.476,0,0,0,99,208,.476,.476,75,121,.620,105,243,348,23,12,131,45,140,273
1999-00,26,UTA,NBA,C,81,3,1606,124,267,.464,0,1,.000,124,266,.466,.464,119,187,.636,172,310,482,18,20,172,79,196,367
2000-01,27,UTA,NBA,C,81,3,1491,139,281,.495,1,2,.500,138,279,.495,.496,84,151,.556,164,251,415,22,22,142,63,215,363
2001-02,28,UTA,NBA,C,74,14,1107,91,201,.453,0,0,0,91,201,.453,.453,63,130,.485,125,188,313,50,15,109,51,152,245
2002-03,29,UTA,NBA,C,81,74,1926,169,326,.518,0,0,0,169,326,.518,.518,100,196,.510,180,323,503,55,20,147,104,235,438
2003-04,30,UTA,NBA,C,78,51,2153,208,437,.476,0,1,.000,208,436,.477,.476,113,195,.579,221,357,578,123,30,139,99,228,529
2004-05,31,SAC,NBA,C,56,3,556,37,84,.440,0,2,.000,37,82,.451,.440,13,38,.342,55,112,167,37,7,40,24,88,87
2005-06,32,UTA,NBA,C,60,22,807,61,124,.492,0,0,0,61,124,.492,.492,24,48,.500,82,143,225,58,6,66,46,129,146
