Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1948-49,21,NYK,BAA,0,52,0,0,157,479,.328,0,0,0,157,479,.328,.328,120,169,.710,0,0,0,63,0,0,0,127,434
1949-50,22,NYK,NBA,0,68,0,0,263,664,.396,0,0,0,263,664,.396,.396,277,366,.757,0,0,0,56,0,0,0,215,803
1950-51,23,NYK,NBA,0,66,0,0,293,705,.416,0,0,0,293,705,.416,.416,259,354,.732,0,0,800,180,0,0,0,244,845
1951-52,24,NYK,NBA,PF,66,0,1931,233,527,.442,0,0,0,233,527,.442,.442,275,341,.806,0,0,661,115,0,0,0,223,741
1952-53,25,NYK,NBA,PF,70,0,2333,282,635,.444,0,0,0,282,635,.444,.444,301,430,.700,0,0,916,126,0,0,0,224,865
1953-54,26,NYK,NBA,PF,72,0,2690,258,639,.404,0,0,0,258,639,.404,.404,433,552,.784,0,0,1098,153,0,0,0,208,949
1954-55,27,NYK,NBA,PF,72,0,2548,330,859,.384,0,0,0,330,859,.384,.384,393,483,.814,0,0,995,176,0,0,0,206,1053
1955-56,28,NYK,NBA,SF,72,0,2378,322,834,.386,0,0,0,322,834,.386,.386,358,455,.787,0,0,740,168,0,0,0,220,1002
1956-57,29,NYK,NBA,PF,72,0,1943,332,817,.406,0,0,0,332,817,.406,.406,415,519,.800,0,0,725,85,0,0,0,202,1079
1957-58,30,DET,NBA,PF,72,0,1990,340,898,.379,0,0,0,340,898,.379,.379,392,498,.787,0,0,749,86,0,0,0,217,1072
