Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,24,CLE,NBA,PF,80,80,2714,435,897,.485,0,1,.000,435,896,.485,.485,298,400,.745,222,407,629,154,58,167,139,197,1168
1987-88,25,CLE,NBA,PF,77,50,2106,316,663,.477,0,1,.000,316,662,.477,.477,211,279,.756,159,347,506,103,61,145,104,203,843
1988-89,26,CLE,NBA,PF,82,10,2125,356,700,.509,1,4,.250,355,696,.510,.509,235,314,.748,173,304,477,108,77,134,102,188,948
1989-90,27,CLE,NBA,PF,82,29,2776,528,1070,.493,0,0,0,528,1070,.493,.493,325,440,.739,220,443,663,168,86,167,143,214,1381
1990-91,28,CLE,NBA,C,43,14,1293,199,430,.463,0,1,.000,199,429,.464,.463,107,164,.652,111,179,290,100,36,69,63,126,505
1991-92,29,CLE,NBA,C,80,12,2432,341,678,.503,0,4,.000,341,674,.506,.503,270,359,.752,228,379,607,196,60,182,83,191,952
1992-93,30,CLE,NBA,C,67,13,2055,263,560,.470,0,0,0,263,560,.470,.470,212,296,.716,127,288,415,152,48,105,116,171,738
1993-94,31,CLE,NBA,PF,76,72,2660,394,825,.478,0,0,0,394,825,.478,.478,252,346,.728,207,368,575,193,78,130,139,219,1040
1994-95,32,CLE,NBA,PF,74,73,2641,366,810,.452,1,5,.200,365,805,.453,.452,196,286,.685,173,334,507,192,83,101,149,211,929
1995-96,33,PHO,NBA,C,62,58,1652,180,397,.453,0,1,.000,180,396,.455,.453,95,130,.731,129,243,372,62,46,90,62,170,455
1996-97,34,PHO,NBA,C,68,66,2137,204,416,.490,0,2,.000,204,414,.493,.490,133,198,.672,178,384,562,100,67,88,66,176,541
1997-98,35,PHO,NBA,C,71,30,1333,95,202,.470,0,0,0,95,202,.470,.470,65,93,.699,107,205,312,49,33,60,29,138,255
1998-99,36,DAL,NBA,C,25,11,403,11,33,.333,0,0,0,11,33,.333,.333,7,10,.700,36,47,83,15,13,18,13,49,29
