Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1948-49,22,WSC,BAA,PF,34,0,0,153,392,.390,0,0,0,153,392,.390,.390,92,126,.730,0,0,0,56,0,0,0,118,398
1949-50,23,TOT,NBA,PF,67,0,0,310,848,.366,0,0,0,310,848,.366,.366,259,344,.753,0,0,0,142,0,0,0,179,879
1949-50,23,WSC,NBA,PF,49,0,0,228,629,.362,0,0,0,228,629,.362,.362,187,254,.736,0,0,0,81,0,0,0,118,643
1949-50,23,TRI,NBA,PF,18,0,0,82,219,.374,0,0,0,82,219,.374,.374,72,90,.800,0,0,0,61,0,0,0,61,236
1950-51,24,TRI,NBA,PF,6,0,0,27,79,.342,0,0,0,27,79,.342,.342,16,21,.762,0,0,63,15,0,0,0,23,70
1951-52,25,Did Not Play(military serviceU.S. Marine Corps)
1952-53,26,MLH,NBA,PF,69,0,2626,425,1170,.363,0,0,0,425,1170,.363,.363,240,339,.708,0,0,533,196,0,0,0,237,1090
1953-54,27,TOT,NBA,0,75,0,1607,163,528,.309,0,0,0,163,528,.309,.309,113,152,.743,0,0,363,104,0,0,0,187,439
1953-54,27,MLH,NBA,0,15,0,356,30,143,0,0,0,0,0,0,0,0,25,36,0,0,0,0,23,0,0,0,31,85
1953-54,27,BOS,NBA,0,60,0,1251,133,385,0,0,0,0,0,0,0,0,88,116,0,0,0,0,81,0,0,0,156,354
1954-55,28,BOS,NBA,PF,64,0,1910,249,656,.380,0,0,0,249,656,.380,.380,138,177,.780,0,0,533,144,0,0,0,238,636
1955-56,29,BOS,NBA,PF,60,0,1964,330,799,.413,0,0,0,330,799,.413,.413,200,253,.791,0,0,625,160,0,0,0,228,860
1956-57,30,BOS,NBA,PF,61,0,1372,195,537,.363,0,0,0,195,537,.363,.363,108,136,.794,0,0,374,85,0,0,0,185,498
1957-58,31,BOS,NBA,PF,69,0,1224,170,484,.351,0,0,0,170,484,.351,.351,59,80,.738,0,0,302,63,0,0,0,123,399
