Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,23,SEA,NBA,C,68,0,980,129,238,.542,0,0,0,129,238,.542,.542,101,170,.594,107,202,309,42,8,74,68,79,359
1981-82,24,SEA,NBA,C,82,1,1710,255,419,.609,0,0,0,255,419,.609,.609,151,240,.629,138,352,490,51,27,139,115,186,661
1982-83,25,SEA,NBA,C,82,11,1789,289,496,.583,0,0,0,289,496,.583,.583,150,218,.688,131,370,501,97,19,101,132,171,728
1983-84,26,SDC,NBA,C,82,67,2525,360,604,.596,0,0,0,360,604,.596,.596,249,327,.761,165,484,649,90,40,139,171,214,969
1984-85,27,LAC,NBA,C,82,58,2392,351,551,.637,0,0,0,351,551,.637,.637,227,303,.749,168,500,668,48,28,130,206,217,929
1985-86,28,TOT,NBA,C,83,78,2682,256,459,.558,0,0,0,256,459,.558,.558,204,254,.803,171,624,795,96,28,139,123,189,716
1985-86,28,LAC,NBA,C,14,14,441,43,84,.512,0,0,0,43,84,.512,.512,57,70,.814,28,103,131,12,5,29,38,33,143
1985-86,28,DAL,NBA,C,69,64,2241,213,375,.568,0,0,0,213,375,.568,.568,147,184,.799,143,521,664,84,23,110,85,156,573
1986-87,29,DAL,NBA,C,82,82,3028,311,531,.586,0,0,0,311,531,.586,.586,267,329,.812,295,678,973,63,51,136,104,191,889
1987-88,30,DAL,NBA,C,81,81,2523,212,380,.558,0,0,0,212,380,.558,.558,147,189,.778,247,508,755,66,40,104,113,175,571
1988-89,31,DAL,NBA,C,53,53,1746,193,337,.573,0,0,0,193,337,.573,.573,95,124,.766,158,412,570,38,24,81,83,111,481
1989-90,32,DAL,NBA,C,73,73,2265,258,479,.539,0,0,0,258,479,.539,.539,149,213,.700,155,475,630,57,22,47,119,129,665
1990-91,33,DAL,NBA,C,82,82,2800,327,615,.532,0,0,0,327,615,.532,.532,165,229,.721,201,526,727,69,34,93,146,181,819
1991-92,34,TOT,NBA,C,58,32,1075,112,245,.457,0,0,0,112,245,.457,.457,61,86,.709,99,190,289,33,8,49,48,103,285
1991-92,34,DAL,NBA,C,44,32,994,107,227,.471,0,0,0,107,227,.471,.471,59,84,.702,97,173,270,31,8,44,41,86,273
1991-92,34,NYK,NBA,C,14,0,81,5,18,.278,0,0,0,5,18,.278,.278,2,2,1.000,2,17,19,2,0,5,7,17,12
1992-93,35,UTA,NBA,C,6,1,94,8,14,.571,0,0,0,8,14,.571,.571,5,9,.556,6,23,29,1,1,7,4,13,21
1993-94,36,Did Not Play(other pro leagueGreece)
1994-95,37,UTA,NBA,C,43,40,613,44,74,.595,0,0,0,44,74,.595,.595,22,31,.710,19,88,107,14,6,28,22,66,110
