Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,23,SAC,NBA,PG,50,50,1805,231,617,.374,100,323,.310,131,294,.446,.455,79,105,.752,14,139,153,299,95,1,143,91,641
1999-00,24,SAC,NBA,PG,81,81,2760,363,973,.373,145,505,.287,218,468,.466,.448,128,170,.753,22,208,230,589,117,8,296,140,999
2000-01,25,SAC,NBA,PG,77,77,2290,281,690,.407,98,311,.315,183,379,.483,.478,60,76,.789,19,166,185,416,94,9,160,114,720
2001-02,26,MEM,NBA,PG,65,65,2236,376,985,.382,127,430,.295,249,555,.449,.446,80,101,.792,22,173,195,519,111,7,214,102,959
2002-03,27,MEM,NBA,PG,76,76,2407,333,859,.388,143,404,.354,190,455,.418,.471,110,131,.840,25,187,212,631,91,10,168,130,919
2003-04,28,MEM,NBA,PG,72,68,2115,290,713,.407,120,364,.330,170,349,.487,.491,82,98,.837,25,122,147,492,92,5,136,97,782
2004-05,29,MEM,NBA,PG,71,68,1952,266,644,.413,107,330,.324,159,314,.506,.496,80,101,.792,19,103,122,399,75,5,130,91,719
2005-06,30,MIA,NBA,PG,59,56,1874,268,606,.442,107,288,.372,161,318,.506,.531,85,98,.867,6,133,139,287,53,5,100,101,728
2006-07,31,MIA,NBA,PG,61,55,1865,235,569,.413,100,295,.339,135,274,.493,.501,94,103,.913,18,123,141,322,58,1,100,68,664
2007-08,32,MIA,NBA,PG,67,53,1886,211,550,.384,97,275,.353,114,275,.415,.472,69,80,.863,12,118,130,307,83,5,91,93,588
2008-09,33,Did Not Play(retired)
2009-10,34,ORL,NBA,PG,82,18,1703,189,426,.444,84,221,.380,105,205,.512,.542,31,41,.756,7,119,126,298,53,3,87,65,493
2010-11,35,TOT,NBA,PG,27,0,295,22,67,.328,10,38,.263,12,29,.414,.403,0,0,0,3,27,30,52,11,1,18,8,54
2010-11,35,ORL,NBA,PG,16,0,171,13,38,.342,7,23,.304,6,15,.400,.434,0,0,0,3,19,22,24,8,0,11,6,33
2010-11,35,MEM,NBA,PG,11,0,124,9,29,.310,3,15,.200,6,14,.429,.362,0,0,0,0,8,8,28,3,1,7,2,21
