Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,22,DAL,NBA,PF,81,62,2626,719,1448,.497,1,4,.250,718,1444,.497,.497,293,409,.716,182,383,565,176,89,22,194,308,1732
1982-83,23,DAL,NBA,PF,81,73,2726,622,1272,.489,0,3,.000,622,1269,.490,.489,269,343,.784,217,375,592,212,70,45,188,295,1513
1983-84,24,DAL,NBA,SF,61,5,1421,252,579,.435,0,1,.000,252,578,.436,.435,168,215,.781,81,166,247,114,30,10,113,159,672
1984-85,25,DAL,NBA,PF,79,47,2543,545,1138,.479,0,4,.000,545,1134,.481,.479,351,420,.836,185,519,704,169,48,22,170,226,1441
1985-86,26,DAL,NBA,PF,80,3,1994,442,919,.481,0,3,.000,442,916,.483,.481,222,274,.810,107,261,368,180,66,21,145,193,1106
1986-87,27,WSB,NBA,SF,51,17,1386,274,613,.447,0,3,.000,274,610,.449,.447,130,169,.769,69,141,210,85,40,17,77,127,678
1987-88,28,DEN,NBA,SF,73,8,1755,446,958,.466,1,4,.250,445,954,.466,.466,231,287,.805,80,229,309,143,46,26,137,198,1124
1988-89,29,TOT,NBA,SF,29,4,646,104,257,.405,1,3,.333,103,254,.406,.407,40,60,.667,38,72,110,27,6,4,42,63,249
1988-89,29,DEN,NBA,SF,5,1,95,13,38,.342,1,2,.500,12,36,.333,.355,5,9,.556,2,16,18,5,1,1,5,11,32
1988-89,29,SAS,NBA,SF,24,3,551,91,219,.416,0,1,.000,91,218,.417,.416,35,51,.686,36,56,92,22,5,3,37,52,217
1989-90,30,TOT,NBA,SF,41,6,459,86,183,.470,1,2,.500,85,181,.470,.473,41,49,.837,20,42,62,18,18,5,33,52,214
1989-90,30,PHI,NBA,SF,17,5,259,45,105,.429,1,1,1.000,44,104,.423,.433,33,37,.892,13,23,36,8,10,2,14,23,124
1989-90,30,LAL,NBA,SF,24,1,200,41,78,.526,0,1,.000,41,77,.532,.526,8,12,.667,7,19,26,10,8,3,19,29,90
