Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1978-79,22,SDC,NBA,C,31,0,152,15,34,.441,0,0,0,15,34,.441,.441,8,18,.444,16,34,50,7,3,4,11,29,38
1979-80,23,TOT,NBA,C,50,0,553,58,114,.509,0,0,0,58,114,.509,.509,10,35,.286,56,111,167,24,8,17,36,97,126
1979-80,23,SDC,NBA,C,18,0,225,27,45,.600,0,0,0,27,45,.600,.600,5,18,.278,29,41,70,6,1,6,8,32,59
1979-80,23,UTA,NBA,C,32,0,328,31,69,.449,0,0,0,31,69,.449,.449,5,17,.294,27,70,97,18,7,11,28,65,67
1980-81,24,TOT,NBA,C,48,0,688,83,180,.461,0,1,.000,83,179,.464,.461,28,56,.500,58,156,214,26,20,9,56,122,194
1980-81,24,DAL,NBA,C,7,0,118,16,38,.421,0,0,0,16,38,.421,.421,5,11,.455,8,20,28,2,4,1,11,16,37
1980-81,24,CLE,NBA,C,3,0,8,1,3,.333,0,0,0,1,3,.333,.333,0,0,0,2,1,3,0,1,0,0,6,2
1980-81,24,SDC,NBA,C,38,0,562,66,139,.475,0,1,.000,66,138,.478,.475,23,45,.511,48,135,183,24,15,8,45,100,155
1981-82,25,SDC,NBA,C,72,63,2214,406,726,.559,0,0,0,406,726,.559,.559,184,241,.763,231,433,664,102,48,44,141,290,996
1982-83,26,SDC,NBA,C,46,23,905,164,306,.536,0,0,0,164,306,.536,.536,72,87,.828,105,156,261,42,21,15,65,139,400
1983-84,27,SDC,NBA,C,70,1,921,144,294,.490,0,0,0,144,294,.490,.490,88,107,.822,94,151,245,19,17,12,59,159,376
1984-85,28,GSW,NBA,C,79,78,2536,421,825,.510,0,0,0,421,825,.510,.510,184,235,.783,219,403,622,53,45,43,141,322,1026
1985-86,29,GSW,NBA,C,81,3,1079,126,294,.429,0,0,0,126,294,.429,.429,60,97,.619,94,234,328,19,18,19,64,176,312
1986-87,30,GSW,NBA,C,73,1,937,147,327,.450,0,1,.000,147,326,.451,.450,79,113,.699,110,152,262,24,16,12,50,175,373
1987-88,31,GSW,NBA,C,72,27,1221,174,360,.483,0,0,0,174,360,.483,.483,59,82,.720,109,212,321,39,32,21,49,209,407
1988-89,32,TOT,NBA,C,57,4,622,72,182,.396,0,0,0,72,182,.396,.396,31,47,.660,49,85,134,19,23,4,24,115,175
1988-89,32,GSW,NBA,C,5,0,42,3,6,.500,0,0,0,3,6,.500,.500,1,2,.500,0,5,5,2,1,0,2,8,7
1988-89,32,SAS,NBA,C,52,4,580,69,176,.392,0,0,0,69,176,.392,.392,30,45,.667,49,80,129,17,22,4,22,107,168
