Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,23,MIL,NBA,SF,55,8,508,72,162,.444,1,2,.500,71,160,.444,.448,58,104,.558,37,43,80,86,43,19,52,57,203
1986-87,24,MIL,NBA,SF,58,24,963,140,356,.393,6,18,.333,134,338,.396,.402,118,184,.641,72,101,173,106,50,30,82,91,404
1987-88,25,MIL,NBA,SF,62,21,1161,188,419,.449,3,7,.429,185,412,.449,.452,119,154,.773,70,90,160,104,74,32,104,97,498
1988-89,26,SEA,NBA,SG,56,0,737,149,357,.417,3,15,.200,146,342,.427,.422,127,167,.760,49,51,100,62,53,26,57,58,428
1989-90,27,ORL,NBA,SF,67,40,1817,309,741,.417,1,14,.071,308,727,.424,.418,239,322,.742,91,232,323,180,93,64,139,162,858
1990-91,28,ORL,NBA,SG,80,9,1843,344,793,.434,10,34,.294,334,759,.440,.440,336,419,.802,88,211,299,203,95,56,172,123,1034
1991-92,29,ORL,NBA,SG,46,16,1159,197,518,.380,3,24,.125,194,494,.393,.383,158,189,.836,47,102,149,151,63,17,96,69,555
1992-93,30,Did Not Play(injury)
1993-94,31,Did Not Play
1994-95,32,Did Not Play(other pro leagueUSBL)
1995-96,33,MIL,NBA,SF,19,0,191,21,53,.396,1,10,.100,20,43,.465,.406,13,21,.619,13,20,33,12,15,6,16,20,56
