Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,24,IND,NBA,PG,47,0,450,34,95,.358,0,5,.000,34,90,.378,.358,25,32,.781,11,32,43,70,23,1,28,38,93
1981-82,25,IND,NBA,PG,51,0,800,91,194,.469,1,9,.111,90,185,.486,.472,29,38,.763,14,41,55,117,33,1,42,63,212
1982-83,26,IND,NBA,PG,78,58,2435,316,661,.478,3,18,.167,313,643,.487,.480,92,107,.860,33,122,155,433,104,2,138,185,727
1983-84,27,IND,NBA,PG,80,80,2497,397,746,.532,6,20,.300,391,726,.539,.536,117,135,.867,44,127,171,457,90,8,144,179,917
1984-85,28,IND,NBA,PG,70,25,1808,325,624,.521,9,37,.243,316,587,.538,.528,112,128,.875,24,90,114,264,47,4,102,116,771
1985-86,29,BOS,NBA,PG,82,7,1596,235,412,.570,6,16,.375,229,396,.578,.578,61,66,.924,27,77,104,188,50,0,73,118,537
1986-87,30,BOS,NBA,PG,78,15,1566,202,398,.508,7,26,.269,195,372,.524,.516,37,42,.881,22,69,91,187,40,1,61,124,448
1987-88,31,TOT,NBA,PG,52,1,694,93,172,.541,10,22,.455,83,150,.553,.570,17,23,.739,9,27,36,93,21,0,22,60,213
1987-88,31,BOS,NBA,PG,24,1,370,44,82,.537,2,8,.250,42,74,.568,.549,8,12,.667,5,16,21,60,14,0,14,30,98
1987-88,31,POR,NBA,PG,28,0,324,49,90,.544,8,14,.571,41,76,.539,.589,9,11,.818,4,11,15,33,7,0,8,30,115
1988-89,32,POR,NBA,PG,25,1,390,46,104,.442,3,12,.250,43,92,.467,.457,7,8,.875,9,20,29,59,15,0,25,17,102
1989-90,33,TOT,NBA,PG,35,8,496,50,125,.400,3,12,.250,47,113,.416,.412,18,22,.818,3,16,19,94,16,2,22,40,121
1989-90,33,CHH,NBA,PG,34,8,469,50,119,.420,3,12,.250,47,107,.439,.433,15,18,.833,3,16,19,92,16,2,22,39,118
1989-90,33,MIL,NBA,PG,1,0,27,0,6,.000,0,0,0,0,6,.000,.000,3,4,.750,0,0,0,2,0,0,0,1,3
