Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,22,CLE,NBA,PF,82,0,1862,210,548,.383,0,0,0,210,548,.383,.383,80,123,.650,207,317,524,149,46,35,0,192,500
1974-75,23,CLE,NBA,PF,82,0,1991,291,639,.455,0,0,0,291,639,.455,.455,103,159,.648,205,304,509,128,77,43,0,150,685
1975-76,24,CLE,NBA,PF,82,0,2913,400,874,.458,0,0,0,400,874,.458,.458,140,214,.654,298,593,891,209,94,89,0,214,940
1976-77,25,CLE,NBA,PF,81,0,2672,296,657,.451,0,0,0,296,657,.451,.451,97,178,.545,275,487,762,195,94,82,0,214,689
1977-78,26,CLE,NBA,PF,80,0,1798,175,390,.449,0,0,0,175,390,.449,.449,46,100,.460,182,313,495,98,60,48,103,178,396
1978-79,27,TOT,NBA,PF,80,0,1611,141,319,.442,0,0,0,141,319,.442,.442,26,63,.413,159,316,475,87,61,66,97,174,308
1978-79,27,CLE,NBA,PF,55,0,1301,114,259,.440,0,0,0,114,259,.440,.440,23,48,.479,125,245,370,74,48,56,78,136,251
1978-79,27,DET,NBA,PF,25,0,310,27,60,.450,0,0,0,27,60,.450,.450,3,15,.200,34,71,105,13,13,10,19,38,57
1979-80,28,POR,NBA,PF,67,0,1016,90,184,.489,0,5,.000,90,179,.503,.489,14,29,.483,101,156,257,75,42,43,47,129,194
1980-81,29,LAL,NBA,PF,78,0,1107,101,197,.513,0,2,.000,101,195,.518,.513,15,40,.375,127,154,281,55,43,58,48,158,217
1981-82,30,LAL,NBA,PF,71,9,966,81,175,.463,1,6,.167,80,169,.473,.466,7,19,.368,106,158,264,42,39,46,37,127,170
