Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,23,LAC,NBA,C,42,26,1137,136,334,.407,3,15,.200,133,319,.417,.412,45,54,.833,51,136,187,98,38,16,76,139,320
1988-89,24,LAC,NBA,C,66,15,1450,170,402,.423,2,14,.143,168,388,.433,.425,44,64,.688,83,188,271,113,32,16,94,152,386
1989-90,25,LAC,NBA,C,77,19,1325,155,392,.395,5,25,.200,150,367,.409,.402,55,71,.775,63,169,232,62,30,24,77,129,370
1990-91,26,DEN,NBA,C,74,38,1593,234,519,.451,2,15,.133,232,504,.460,.453,69,83,.831,136,264,400,107,60,31,95,244,539
1991-92,27,DEN,NBA,C,67,0,1160,100,277,.361,1,11,.091,99,266,.372,.363,53,66,.803,97,143,240,61,32,14,60,124,254
1992-93,28,TOT,NBA,C,23,0,165,20,44,.455,0,1,.000,20,43,.465,.455,13,16,.813,14,34,48,5,7,1,7,24,53
1992-93,28,BOS,NBA,C,2,0,9,0,1,.000,0,0,0,0,1,.000,.000,1,2,.500,1,2,3,0,0,1,2,2,1
1992-93,28,POR,NBA,C,21,0,156,20,43,.465,0,1,.000,20,42,.476,.465,12,14,.857,13,32,45,5,7,0,5,22,52
1993-94,29,Did Not Play(other pro leagueSpain)
1994-95,30,CHH,NBA,PF,63,6,583,38,81,.469,2,6,.333,36,75,.480,.481,12,16,.750,34,95,129,37,9,6,22,101,90
1995-96,31,TOT,NBA,PF,64,8,1065,135,263,.513,0,6,.000,135,257,.525,.513,21,29,.724,49,138,187,63,15,5,42,163,291
1995-96,31,CHH,NBA,PF,1,0,18,0,1,.000,0,0,0,0,1,.000,.000,0,0,0,0,2,2,0,2,0,2,2,0
1995-96,31,ORL,NBA,PF,63,8,1047,135,262,.515,0,6,.000,135,256,.527,.515,21,29,.724,49,136,185,63,13,5,40,161,291
1996-97,32,MIL,NBA,C,56,7,525,40,89,.449,1,7,.143,39,82,.476,.455,14,19,.737,32,80,112,20,14,11,14,105,95
1997-98,33,DEN,NBA,PF,57,8,621,40,121,.331,2,10,.200,38,111,.342,.339,5,10,.500,36,90,126,30,20,7,22,92,87
1998-99,34,CHH,NBA,PF,3,0,12,0,1,.000,0,0,0,0,1,.000,.000,0,2,.000,0,1,1,0,0,0,0,6,0
