Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1962-63,24,STL,NBA,SG,77,0,2692,360,838,.430,0,0,0,360,838,.430,.430,181,255,.710,0,0,359,322,0,0,0,168,901
1963-64,25,STL,NBA,SG,74,0,1367,208,505,.412,0,0,0,208,505,.412,.412,70,115,.609,0,0,157,145,0,0,0,107,486
1964-65,26,STL,NBA,SG,41,0,777,121,312,.388,0,0,0,121,312,.388,.388,45,70,.643,0,0,91,76,0,0,0,56,287
1965-66,27,TOT,NBA,PG,76,0,1617,243,606,.401,0,0,0,243,606,.401,.401,113,184,.614,0,0,203,196,0,0,0,134,599
1965-66,27,STL,NBA,PG,31,0,691,104,243,.428,0,0,0,104,243,.428,.428,54,86,.628,0,0,91,83,0,0,0,58,262
1965-66,27,DET,NBA,PG,45,0,926,139,363,.383,0,0,0,139,363,.383,.383,59,98,.602,0,0,112,113,0,0,0,76,337
1966-67,28,BAL,NBA,PG,53,0,1214,187,447,.418,0,0,0,187,447,.418,.418,66,103,.641,0,0,157,136,0,0,0,80,440
1967-68,29,SDR,NBA,PG,75,0,1883,295,700,.421,0,0,0,295,700,.421,.421,154,234,.658,0,0,173,259,0,0,0,143,744
1968-69,30,BAL,NBA,PG,30,0,504,76,175,.434,0,0,0,76,175,.434,.434,39,65,.600,0,0,53,71,0,0,0,63,191
1969-70,31,INA,ABA,SG,77,0,2374,325,824,.394,71,272,.261,254,552,.460,.438,158,238,.664,60,113,173,312,0,0,157,196,879
1970-71,32,TOT,ABA,PG,67,0,1303,181,496,.365,32,147,.218,149,349,.427,.397,96,134,.716,47,69,116,160,0,0,79,106,490
1970-71,32,INA,ABA,PG,43,0,619,80,241,.332,14,75,.187,66,166,.398,.361,42,61,.689,27,35,62,83,0,0,39,51,216
1970-71,32,DNR,ABA,PG,24,0,684,101,255,.396,18,72,.250,83,183,.454,.431,54,73,.740,20,34,54,77,0,0,40,55,274
1971-72,33,INA,ABA,PG,19,0,194,28,87,.322,4,35,.114,24,52,.462,.345,8,15,.533,8,11,19,16,0,0,12,16,68
