Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1962-63,22,BOS,NBA,SF,80,0,2200,483,1085,.445,0,0,0,483,1085,.445,.445,174,239,.728,0,0,534,179,0,0,0,189,1140
1963-64,23,BOS,NBA,SF,80,0,2587,640,1535,.417,0,0,0,640,1535,.417,.417,315,422,.746,0,0,428,238,0,0,0,227,1595
1964-65,24,BOS,NBA,SG,75,0,2169,570,1420,.401,0,0,0,570,1420,.401,.401,235,316,.744,0,0,371,199,0,0,0,200,1375
1965-66,25,BOS,NBA,SF,71,0,2175,530,1328,.399,0,0,0,530,1328,.399,.399,274,349,.785,0,0,423,210,0,0,0,158,1334
1966-67,26,BOS,NBA,SF,81,0,2602,684,1540,.444,0,0,0,684,1540,.444,.444,365,441,.828,0,0,532,278,0,0,0,210,1733
1967-68,27,BOS,NBA,SG,82,0,2921,666,1551,.429,0,0,0,666,1551,.429,.429,368,453,.812,0,0,546,384,0,0,0,237,1700
1968-69,28,BOS,NBA,SG,82,0,3174,692,1709,.405,0,0,0,692,1709,.405,.405,387,496,.780,0,0,570,441,0,0,0,247,1771
1969-70,29,BOS,NBA,SG,81,0,3369,736,1585,.464,0,0,0,736,1585,.464,.464,488,578,.844,0,0,635,550,0,0,0,211,1960
1970-71,30,BOS,NBA,SF,81,0,3678,892,1982,.450,0,0,0,892,1982,.450,.450,554,677,.818,0,0,730,607,0,0,0,200,2338
1971-72,31,BOS,NBA,SF,82,0,3698,897,1957,.458,0,0,0,897,1957,.458,.458,458,549,.834,0,0,672,614,0,0,0,183,2252
1972-73,32,BOS,NBA,SF,80,0,3367,766,1704,.450,0,0,0,766,1704,.450,.450,370,431,.858,0,0,567,529,0,0,0,195,1902
1973-74,33,BOS,NBA,SF,76,0,3091,685,1502,.456,0,0,0,685,1502,.456,.456,346,416,.832,138,349,487,447,95,32,0,196,1716
1974-75,34,BOS,NBA,SF,82,0,3132,642,1411,.455,0,0,0,642,1411,.455,.455,289,332,.870,154,330,484,432,110,16,0,231,1573
1975-76,35,BOS,NBA,SF,76,0,2598,504,1121,.450,0,0,0,504,1121,.450,.450,281,333,.844,116,198,314,278,97,29,0,204,1289
1976-77,36,BOS,NBA,SF,79,0,2913,580,1283,.452,0,0,0,580,1283,.452,.452,235,288,.816,109,273,382,400,84,18,0,208,1395
1977-78,37,BOS,NBA,SF,82,0,2797,546,1217,.449,0,0,0,546,1217,.449,.449,230,269,.855,93,239,332,328,90,22,204,185,1322
