Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,23,CLE,NBA,PF,54,0,333,49,110,.445,0,0,0,49,110,.445,.445,25,37,.676,37,65,102,16,8,12,0,54,123
1976-77,24,CLE,NBA,PF,63,0,555,67,157,.427,0,0,0,67,157,.427,.427,25,36,.694,62,92,154,31,16,18,0,75,159
1977-78,25,CLE,NBA,PF,76,0,1075,142,336,.423,0,0,0,142,336,.423,.423,27,48,.563,125,199,324,38,27,50,62,169,311
1978-79,26,CLE,NBA,PF,70,0,1030,148,329,.450,0,0,0,148,329,.450,.450,35,55,.636,116,174,290,43,25,29,65,163,331
1979-80,27,CLE,NBA,PF,74,0,1324,165,400,.413,0,3,.000,165,397,.416,.413,73,101,.723,138,214,352,56,47,42,64,203,403
1980-81,28,TOT,NBA,PF,46,0,483,68,165,.412,0,2,.000,68,163,.417,.412,18,23,.783,28,65,93,27,12,5,19,76,154
1980-81,28,CLE,NBA,PF,3,0,8,3,5,.600,0,0,0,3,5,.600,.600,0,0,0,1,2,3,3,0,0,2,2,6
1980-81,28,KCK,NBA,PF,43,0,475,65,160,.406,0,2,.000,65,158,.411,.406,18,23,.783,27,63,90,24,12,5,17,74,148
1981-82,29,TOT,NBA,PF,63,7,764,86,197,.437,1,7,.143,85,190,.447,.439,34,42,.810,55,123,178,37,18,16,48,123,207
1981-82,29,KCK,NBA,PF,42,1,493,60,139,.432,1,6,.167,59,133,.444,.435,21,28,.750,36,91,127,24,12,10,38,80,142
1981-82,29,SAS,NBA,PF,21,6,271,26,58,.448,0,1,.000,26,57,.456,.448,13,14,.929,19,32,51,13,6,6,10,43,65
