Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,ATL,NBA,PF,4,1,23,2,5,.400,0,2,.000,2,3,.667,.400,1,1,1.000,1,4,5,0,0,0,2,3,5
2004-05,24,PHI,NBA,PF,42,5,328,42,111,.378,19,53,.358,23,58,.397,.464,14,17,.824,29,50,79,12,8,4,15,45,117
2005-06,25,TOT,NBA,PF,6,0,17,2,7,.286,0,2,.000,2,5,.400,.286,2,3,.667,3,1,4,1,2,0,1,3,6
2005-06,25,MIL,NBA,PF,4,0,12,1,4,.250,0,1,.000,1,3,.333,.250,0,0,0,2,1,3,1,1,0,1,2,2
2005-06,25,HOU,NBA,PF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2005-06,25,PHO,NBA,PF,1,0,5,1,3,.333,0,1,.000,1,2,.500,.333,2,3,.667,1,0,1,0,1,0,0,0,4
2006-07,26,Did Not Play(other pro leagueRussia)
2007-08,27,Did Not Play(other pro leagueUkraine)
2008-09,28,Did Not Play(
2009-10,29,Did Not Play(other pro leagueGreece)
2010-11,30,Did Not Play(other pro leagueItaly)
2011-12,31,MEM,NBA,PF,15,0,130,10,27,.370,4,13,.308,6,14,.429,.444,4,8,.500,16,11,27,6,7,1,3,19,28
