Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,22,NJN,NBA,PF,62,62,2325,446,1047,.426,69,224,.308,377,823,.458,.459,258,305,.846,142,266,408,106,64,25,164,216,1219
1998-99,23,NJN,NBA,PF,42,42,1576,322,752,.428,16,53,.302,306,699,.438,.439,256,298,.859,114,244,358,65,43,53,133,134,916
1999-00,24,NJN,NBA,PF,80,80,2782,559,1257,.445,84,228,.368,475,1029,.462,.478,333,393,.847,200,476,676,158,64,60,245,258,1535
2000-01,25,NJN,NBA,SF,49,47,1733,308,708,.435,65,170,.382,243,538,.452,.481,150,186,.806,78,269,347,82,40,20,103,150,831
2001-02,26,NJN,NBA,SF,81,81,2465,471,1089,.433,101,293,.345,370,796,.465,.479,156,195,.800,137,472,609,164,63,42,146,221,1199
2002-03,27,PHI,NBA,PF,74,73,2337,459,952,.482,65,176,.369,394,776,.508,.516,193,240,.804,159,365,524,93,63,30,150,251,1176
2003-04,28,TOT,NBA,SF,72,62,2340,410,903,.454,93,233,.399,317,670,.473,.506,249,290,.859,149,352,501,120,68,33,169,215,1162
2003-04,28,NYK,NBA,SF,47,47,1574,273,613,.445,60,161,.373,213,452,.471,.494,163,199,.819,98,245,343,83,52,18,119,151,769
2003-04,28,MIL,NBA,SF,25,15,766,137,290,.472,33,72,.458,104,218,.477,.529,86,91,.945,51,107,158,37,16,15,50,64,393
2004-05,29,TOT,NBA,SF-PF,62,16,1502,257,564,.456,54,142,.380,203,422,.481,.504,128,157,.815,89,205,294,75,36,21,81,170,696
2004-05,29,MIL,NBA,SF,33,13,818,128,285,.449,30,78,.385,98,207,.473,.502,56,65,.862,55,110,165,41,21,11,47,82,342
2004-05,29,DAL,NBA,PF,29,3,684,129,279,.462,24,64,.375,105,215,.488,.505,72,92,.783,34,95,129,34,15,10,34,88,354
2005-06,30,DAL,NBA,SF,53,0,1090,164,387,.424,50,136,.368,114,251,.454,.488,94,113,.832,54,138,192,37,31,11,71,121,472
