Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,22,LAL,NBA,PF,45,0,400,73,151,.483,0,0,0,73,151,.483,.483,26,49,.531,62,85,147,19,21,18,0,77,172
1974-75,23,LAL,NBA,PF,55,0,949,87,207,.420,0,0,0,87,207,.420,.420,72,122,.590,106,244,350,66,25,32,0,155,246
1975-76,24,LAL,NBA,PF,36,0,492,39,90,.433,0,0,0,39,90,.433,.433,45,66,.682,51,114,165,20,11,26,0,76,123
1976-77,25,LAL,NBA,PF,53,0,1342,191,380,.503,0,0,0,191,380,.503,.503,132,187,.706,182,310,492,48,43,52,0,183,514
1977-78,26,TOT,NBA,PF,57,0,1617,247,507,.487,0,0,0,247,507,.487,.487,170,246,.691,215,399,614,72,47,64,107,188,664
1977-78,26,LAL,NBA,PF,25,0,751,110,244,.451,0,0,0,110,244,.451,.451,68,110,.618,110,169,279,30,19,24,53,74,288
1977-78,26,BOS,NBA,PF,32,0,866,137,263,.521,0,0,0,137,263,.521,.521,102,136,.750,105,230,335,42,28,40,54,114,376
1978-79,27,SDC,NBA,PF,82,0,2764,350,623,.562,0,0,0,350,623,.562,.562,227,330,.688,296,504,800,125,85,121,185,317,927
1979-80,28,POR,NBA,PF,80,0,2657,421,761,.553,0,3,.000,421,758,.555,.553,231,360,.642,325,517,842,167,73,131,170,307,1073
1980-81,29,POR,NBA,PF,73,0,2120,325,571,.569,0,1,.000,325,570,.570,.569,181,288,.628,236,450,686,149,85,86,144,258,831
1981-82,30,POR,NBA,PF,20,4,418,38,78,.487,0,0,0,38,78,.487,.487,24,41,.585,40,77,117,29,9,16,19,56,100
1982-83,31,Did Not Play(retired)
1983-84,32,Did Not Play(retired)
1984-85,33,Did Not Play(retired)
1985-86,34,Did Not Play(retired)
1986-87,35,Did Not Play(retired)
1987-88,36,GSW,NBA,PF,6,1,56,7,14,.500,0,0,0,7,14,.500,.500,2,2,1.000,9,10,19,0,4,4,4,13,16
