Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,23,MIA,NBA,SG,79,62,2349,470,1105,.425,10,37,.270,460,1068,.431,.430,144,193,.746,85,177,262,349,139,27,246,154,1094
1989-90,24,MIA,NBA,SG,78,54,2211,395,959,.412,9,30,.300,386,929,.416,.417,139,183,.760,77,205,282,252,125,33,180,149,938
1990-91,25,MIA,NBA,SG,79,16,2000,380,927,.410,24,84,.286,356,843,.422,.423,171,213,.803,80,125,205,240,129,46,163,151,955
1991-92,26,MIA,NBA,PG,81,1,1840,325,716,.454,7,32,.219,318,684,.465,.459,162,191,.848,56,155,211,170,99,20,120,138,819
1992-93,27,MIA,NBA,SG,40,30,1134,216,462,.468,5,17,.294,211,445,.474,.473,119,141,.844,48,73,121,120,68,12,75,69,556
1993-94,28,NJN,NBA,SG,82,82,2727,471,1028,.458,35,99,.354,436,929,.469,.475,167,217,.770,94,187,281,232,120,34,135,150,1144
1994-95,29,NJN,NBA,SG,14,14,466,69,154,.448,18,45,.400,51,109,.468,.506,40,42,.952,10,27,37,27,19,5,35,42,196
1995-96,30,NJN,NBA,SG,34,33,1007,142,390,.364,42,104,.404,100,286,.350,.418,68,84,.810,14,61,75,71,54,7,68,67,394
1996-97,31,NJN,NBA,PG,32,0,477,69,183,.377,15,43,.349,54,140,.386,.418,37,43,.860,9,34,43,57,17,4,49,34,190
1997-98,32,TOT,NBA,SG,39,5,487,57,165,.345,6,15,.400,51,150,.340,.364,30,35,.857,20,34,54,39,26,1,30,28,150
1997-98,32,NJN,NBA,SG,27,5,352,37,106,.349,4,11,.364,33,95,.347,.368,13,15,.867,11,23,34,26,21,0,20,20,91
1997-98,32,ORL,NBA,SG,12,0,135,20,59,.339,2,4,.500,18,55,.327,.356,17,20,.850,9,11,20,13,5,1,10,8,59
1998-99,33,Did Not Play
1999-00,34,Did Not Play
2000-01,35,VAN,NBA,SG,46,5,634,56,170,.329,5,19,.263,51,151,.338,.344,43,53,.811,23,59,82,52,29,8,37,46,160
