Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,22,WSB,NBA,SF,56,0,504,79,213,.371,0,0,0,79,213,.371,.371,52,58,.897,24,36,60,27,13,3,0,65,210
1976-77,23,WSB,NBA,SF,76,0,1306,224,530,.423,0,0,0,224,530,.423,.423,79,119,.664,73,105,178,68,29,9,0,148,527
1977-78,24,WSB,NBA,SF,81,0,2121,505,1128,.448,0,0,0,505,1128,.448,.448,243,308,.789,124,166,290,155,61,17,159,203,1253
1978-79,25,WSB,NBA,SF,65,0,1856,418,922,.453,0,0,0,418,922,.453,.453,173,224,.772,90,142,232,153,46,14,120,159,1009
1979-80,26,WSB,NBA,SF,65,0,1818,331,804,.412,34,92,.370,297,712,.417,.433,216,249,.867,80,107,187,177,56,16,102,158,912
1980-81,27,WSB,NBA,SG,75,0,2616,500,1103,.453,45,136,.331,455,967,.471,.474,244,290,.841,67,152,219,300,68,17,144,161,1289
1981-82,28,WSB,NBA,SG,71,62,2164,376,857,.439,28,82,.341,348,775,.449,.455,165,193,.855,57,138,195,149,44,23,96,151,945
1982-83,29,WSB,NBA,SF,41,11,756,114,294,.388,15,38,.395,99,256,.387,.413,54,69,.783,18,31,49,49,18,7,27,61,297
1983-84,30,MIL,NBA,SG,64,3,923,178,395,.451,15,53,.283,163,342,.477,.470,75,84,.893,30,51,81,75,27,4,45,95,446
1984-85,31,MIL,NBA,SF,78,6,1182,190,424,.448,8,33,.242,182,391,.465,.458,88,107,.822,27,76,103,94,30,2,55,85,476
