Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1962-63,22,DET,NBA,SG,57,0,845,146,397,.368,0,0,0,146,397,.368,.368,71,100,.710,0,0,109,104,0,0,0,135,363
1963-64,23,TOT,NBA,SG,66,0,1459,236,631,.374,0,0,0,236,631,.374,.374,126,177,.712,0,0,138,182,0,0,0,175,598
1963-64,23,DET,NBA,SG,1,0,2,1,4,.250,0,0,0,1,4,.250,.250,0,0,0,0,0,0,0,0,0,0,2,2
1963-64,23,BAL,NBA,SG,65,0,1457,235,627,.375,0,0,0,235,627,.375,.375,126,177,.712,0,0,138,182,0,0,0,173,596
1964-65,24,BAL,NBA,PG,80,0,2417,406,957,.424,0,0,0,406,957,.424,.424,212,281,.754,0,0,235,296,0,0,0,320,1024
1965-66,25,BAL,NBA,SG,74,0,2455,526,1264,.416,0,0,0,526,1264,.416,.416,297,358,.830,0,0,227,356,0,0,0,273,1349
1966-67,26,BAL,NBA,SG,76,0,2577,520,1306,.398,0,0,0,520,1306,.398,.398,340,412,.825,0,0,349,288,0,0,0,294,1380
1967-68,27,BAL,NBA,PG,77,0,2297,458,1127,.406,0,0,0,458,1127,.406,.406,305,392,.778,0,0,247,256,0,0,0,301,1221
1968-69,28,BAL,NBA,PG,80,0,3135,717,1636,.438,0,0,0,717,1636,.438,.438,372,463,.803,0,0,266,384,0,0,0,299,1806
1969-70,29,BAL,NBA,SG,55,0,2037,477,1082,.441,0,0,0,477,1082,.441,.441,253,298,.849,0,0,168,292,0,0,0,183,1207
1970-71,30,BAL,NBA,SG,82,0,2260,481,1193,.403,0,0,0,481,1193,.403,.403,275,331,.831,0,0,219,301,0,0,0,246,1237
1971-72,31,TOT,NBA,SG,76,0,1771,341,809,.422,0,0,0,341,809,.422,.422,263,320,.822,0,0,183,196,0,0,0,213,945
1971-72,31,BAL,NBA,SG,2,0,42,4,17,.235,0,0,0,4,17,.235,.235,5,8,.625,0,0,5,8,0,0,0,5,13
1971-72,31,PHI,NBA,SG,74,0,1729,337,792,.426,0,0,0,337,792,.426,.426,258,312,.827,0,0,178,188,0,0,0,208,932
1972-73,32,PHI,NBA,SG,32,0,955,169,427,.396,0,0,0,169,427,.396,.396,107,130,.823,0,0,113,148,0,0,0,104,445
