Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,ATL,NBA,PF,82,19,1785,322,690,.467,2,9,.222,320,681,.470,.468,119,181,.657,177,345,522,36,31,49,104,226,765
1985-86,23,ATL,NBA,PF,82,59,2300,419,811,.517,0,6,.000,419,805,.520,.517,172,263,.654,243,461,704,45,66,44,177,294,1010
1986-87,24,ATL,NBA,PF,81,81,2626,538,1003,.536,1,4,.250,537,999,.538,.537,227,320,.709,321,528,849,62,65,61,173,313,1304
1987-88,25,ATL,NBA,PF,75,55,2091,356,687,.518,0,2,.000,356,685,.520,.518,159,245,.649,235,312,547,28,68,41,138,240,871
1988-89,26,Did Not Play(injuryknee)
1989-90,27,ATL,NBA,PF,81,51,2273,418,805,.519,2,7,.286,416,798,.521,.520,168,246,.683,253,392,645,57,63,47,144,259,1006
1990-91,28,ATL,NBA,PF,80,80,2373,444,881,.504,4,10,.400,440,871,.505,.506,159,238,.668,259,445,704,99,60,40,153,235,1051
1991-92,29,ATL,NBA,PF,81,80,2962,591,1224,.483,6,37,.162,585,1187,.493,.485,292,363,.804,418,840,1258,173,72,54,197,223,1480
1992-93,30,ATL,NBA,PF,80,80,2878,616,1218,.506,7,29,.241,609,1189,.512,.509,196,300,.653,335,693,1028,165,68,41,213,264,1435
1993-94,31,ATL,NBA,PF,80,80,2867,627,1257,.499,9,24,.375,618,1233,.501,.502,268,376,.713,335,628,963,150,79,38,188,250,1531
1994-95,32,TOT,NBA,PF,67,63,2390,473,1015,.466,3,15,.200,470,1000,.470,.467,205,297,.690,227,505,732,86,60,36,162,215,1154
1994-95,32,ATL,NBA,PF,2,2,89,16,41,.390,0,1,.000,16,40,.400,.390,10,15,.667,10,26,36,3,1,3,7,7,42
1994-95,32,MIA,NBA,PF,65,61,2301,457,974,.469,3,14,.214,454,960,.473,.471,195,282,.691,217,479,696,83,59,33,155,208,1112
1995-96,33,TOT,NBA,PF,75,60,2135,325,712,.456,1,9,.111,324,703,.461,.457,143,202,.708,208,430,638,53,32,41,161,253,794
1995-96,33,MIA,NBA,PF,47,42,1357,195,412,.473,0,5,.000,195,407,.479,.473,89,125,.712,134,286,420,34,19,25,99,158,479
1995-96,33,GSW,NBA,PF,28,18,778,130,300,.433,1,4,.250,129,296,.436,.435,54,77,.701,74,144,218,19,13,16,62,95,315
1996-97,34,HOU,NBA,PF,75,32,1964,350,728,.481,2,14,.143,348,714,.487,.482,140,202,.693,146,415,561,71,42,32,119,216,842
1997-98,35,HOU,NBA,PF,81,74,2528,531,1041,.510,1,7,.143,530,1034,.513,.511,242,305,.793,232,447,679,78,55,38,170,235,1305
1998-99,36,TOR,NBA,C,42,38,1216,187,447,.418,0,2,.000,187,445,.420,.418,130,155,.839,109,241,350,67,28,28,86,134,504
1999-00,37,TOR,NBA,PF,79,1,1679,236,569,.415,1,3,.333,235,566,.415,.416,131,164,.799,201,281,482,49,36,48,98,256,604
2000-01,38,TOT,NBA,C,78,22,1830,304,690,.441,1,6,.167,303,684,.443,.441,113,147,.769,177,355,532,50,57,52,87,216,722
2000-01,38,TOR,NBA,C,35,9,771,124,269,.461,0,2,.000,124,267,.464,.461,61,81,.753,68,155,223,21,19,21,40,78,309
2000-01,38,DEN,NBA,C,43,13,1059,180,421,.428,1,4,.250,179,417,.429,.429,52,66,.788,109,200,309,29,38,31,47,138,413
2001-02,39,HOU,NBA,PF,52,5,865,125,284,.440,0,1,.000,125,283,.442,.440,65,87,.747,105,194,299,14,25,23,41,98,315
2002-03,40,SAS,NBA,C,71,6,840,123,257,.479,0,2,.000,123,255,.482,.479,51,83,.614,83,143,226,24,20,20,60,120,297
2003-04,41,SAS,NBA,C,48,0,373,70,150,.467,0,1,.000,70,149,.470,.467,24,39,.615,37,61,98,11,21,9,32,61,164
2004-05,42,ATL,NBA,C,29,5,344,35,90,.389,0,2,.000,35,88,.398,.389,17,23,.739,29,47,76,9,8,7,15,53,87
2005-06,43,Did Not Play(retired)
2006-07,44,DAL,NBA,PF,5,0,43,5,13,.385,0,0,0,5,13,.385,.385,2,2,1.000,2,6,8,1,2,1,2,11,12
