Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,22,MIA,NBA,PG,67,17,1462,206,465,.443,67,171,.392,139,294,.473,.515,140,196,.714,52,134,186,288,77,10,132,139,619
1995-96,23,TOT,NBA,PG,51,12,833,95,227,.419,28,91,.308,67,136,.493,.480,61,82,.744,18,61,79,118,37,3,63,115,279
1995-96,23,CHH,NBA,PG,20,5,418,54,118,.458,11,36,.306,43,82,.524,.504,43,51,.843,11,29,40,72,16,1,30,46,162
1995-96,23,NJN,NBA,PG,31,7,415,41,109,.376,17,55,.309,24,54,.444,.454,18,31,.581,7,32,39,46,21,2,33,69,117
1996-97,24,TOT,NBA,PG,63,30,1432,184,470,.391,83,227,.366,101,243,.416,.480,65,87,.747,34,85,119,226,34,9,108,159,516
1996-97,24,NJN,NBA,PG,50,18,1048,141,359,.393,76,192,.396,65,167,.389,.499,56,75,.747,22,66,88,170,23,7,82,119,414
1996-97,24,DAL,NBA,PG,13,12,384,43,111,.387,7,35,.200,36,76,.474,.419,9,12,.750,12,19,31,56,11,2,26,40,102
1997-98,25,DAL,NBA,PG,82,54,1950,248,593,.418,56,152,.368,192,441,.435,.465,165,213,.775,54,131,185,230,80,10,130,195,717
1998-99,26,DET,NBA,PG,11,0,112,8,21,.381,1,3,.333,7,18,.389,.405,8,14,.571,3,4,7,11,4,0,7,13,25
1999-00,27,CHI,NBA,PG,3,0,48,3,12,.250,0,3,.000,3,9,.333,.250,5,5,1.000,2,2,4,13,2,0,6,8,11
