Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,23,MIA,NBA,PF,74,42,1655,274,547,.501,0,2,.000,274,545,.503,.501,118,178,.663,122,317,439,46,47,36,98,271,666
1996-97,24,MIA,NBA,PF,18,9,374,39,105,.371,0,1,.000,39,104,.375,.371,35,46,.761,31,76,107,9,12,9,25,67,113
1997-98,25,DAL,NBA,PF,5,0,73,17,45,.378,0,0,0,17,45,.378,.378,3,3,1.000,8,16,24,3,1,0,10,19,37
1998-99,26,NYK,NBA,PF,50,44,1182,170,368,.462,0,1,.000,170,367,.463,.462,66,108,.611,82,204,286,55,45,17,73,159,406
1999-00,27,NYK,NBA,PF,80,21,1971,270,535,.505,1,3,.333,269,532,.506,.506,100,128,.781,144,361,505,82,51,42,105,278,641
2000-01,28,NYK,NBA,PF,77,29,2125,314,614,.511,1,3,.333,313,611,.512,.512,171,210,.814,172,343,515,63,61,69,99,287,800
2001-02,29,NYK,NBA,C,82,82,2771,463,938,.494,1,6,.167,462,932,.496,.494,216,265,.815,214,533,747,87,71,79,153,341,1143
2002-03,30,NYK,NBA,C,81,81,2577,497,1028,.483,2,3,.667,495,1025,.483,.484,138,184,.750,160,477,637,162,81,97,138,344,1134
2003-04,31,NYK,NBA,PF,80,75,2548,392,829,.473,0,3,.000,392,826,.475,.473,106,127,.835,145,517,662,149,56,80,132,298,890
2004-05,32,NYK,NBA,PF,80,80,2855,424,901,.471,2,4,.500,422,897,.470,.472,66,84,.786,170,661,831,160,70,79,99,310,916
2005-06,33,PHO,NBA,C,53,50,1411,190,391,.486,0,0,0,190,391,.486,.486,75,92,.815,102,313,415,57,23,54,57,193,455
2006-07,34,PHO,NBA,C,67,13,1208,126,259,.486,0,1,.000,126,258,.488,.486,56,71,.789,86,293,379,24,24,29,35,156,308
2007-08,35,TOT,NBA,C-PF,70,48,1584,195,396,.492,0,1,.000,195,395,.494,.492,53,80,.663,130,377,507,67,56,57,46,188,443
2007-08,35,SEA,NBA,C,42,39,1060,139,271,.513,0,0,0,139,271,.513,.513,39,56,.696,94,275,369,53,35,43,28,131,317
2007-08,35,SAS,NBA,PF,28,9,524,56,125,.448,0,1,.000,56,124,.452,.448,14,24,.583,36,102,138,14,21,14,18,57,126
2008-09,36,SAS,NBA,PF,79,10,1404,153,304,.503,0,2,.000,153,302,.507,.503,37,45,.822,134,271,405,66,34,58,42,170,343
2009-10,37,MIL,NBA,C,70,9,1049,99,208,.476,0,0,0,99,208,.476,.476,12,15,.800,84,207,291,47,26,46,48,159,210
2010-11,38,CHI,NBA,PF,52,37,1178,95,186,.511,1,1,1.000,94,185,.508,.513,20,32,.625,75,226,301,60,32,42,42,164,211
2011-12,39,POR,NBA,C,53,3,803,73,157,.465,0,0,0,73,157,.465,.465,14,20,.700,39,149,188,46,24,31,31,123,160
2012-13,40,NYK,NBA,PF,39,17,392,45,83,.542,1,1,1.000,44,82,.537,.548,6,13,.462,24,65,89,21,10,16,8,52,97
