Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,22,DEN,NBA,PF,82,82,2749,483,958,.504,2,13,.154,481,945,.509,.505,237,317,.748,274,470,744,151,72,111,153,293,1205
1993-94,23,DEN,NBA,PF,79,79,2699,483,963,.502,7,23,.304,476,940,.506,.505,242,359,.674,220,462,682,167,63,80,172,304,1215
1994-95,24,DEN,NBA,PF,6,0,58,9,25,.360,0,0,0,9,25,.360,.360,6,6,1.000,7,10,17,4,1,5,5,12,24
1995-96,25,DEN,NBA,SF,45,28,1269,189,432,.438,4,22,.182,185,410,.451,.442,89,148,.601,93,229,322,74,36,33,83,163,471
1996-97,26,DEN,NBA,PF,55,49,2002,445,1014,.439,95,259,.367,350,755,.464,.486,218,282,.773,107,279,386,131,44,41,117,181,1203
1997-98,27,DEN,NBA,SF,76,71,2575,410,1007,.407,57,201,.284,353,806,.438,.435,206,256,.805,146,398,544,213,65,49,173,226,1083
1998-99,28,ATL,NBA,PF,20,20,539,80,190,.421,1,5,.200,79,185,.427,.424,43,61,.705,25,84,109,18,8,7,34,48,204
1999-00,29,ATL,NBA,PF,58,8,1309,209,464,.450,3,21,.143,206,443,.465,.454,66,95,.695,98,192,290,59,32,25,52,133,487
2000-01,30,MIN,NBA,PF,82,5,1948,298,642,.464,7,22,.318,291,620,.469,.470,169,214,.790,199,295,494,93,67,74,108,290,772
2001-02,31,MIA,NBA,SF,66,14,1684,189,452,.418,38,124,.306,151,328,.460,.460,53,84,.631,107,180,287,56,30,37,73,196,469
2002-03,32,MIA,NBA,PF,55,3,784,100,262,.382,27,107,.252,73,155,.471,.433,50,66,.758,44,113,157,15,15,15,31,88,277
