Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1964-65,22,PHI,NBA,SG,23,0,359,47,153,.307,0,0,0,47,153,.307,.307,37,52,.712,0,0,57,40,0,0,0,46,131
1965-66,23,Did Not Play(other pro leagueEBL)
1966-67,24,Did Not Play(other pro leagueEBL)
1967-68,25,DNR,ABA,PG,76,0,3085,602,1409,.427,8,42,.190,594,1367,.435,.430,530,683,.776,0,0,599,270,0,0,232,268,1742
1968-69,26,DNR,ABA,PG,75,0,3042,759,1631,.465,24,100,.240,735,1531,.480,.473,591,760,.778,165,328,493,258,0,0,218,273,2133
1969-70,27,DNR,ABA,SG,75,0,3027,625,1441,.434,41,165,.248,584,1276,.458,.448,579,732,.791,143,248,391,426,0,0,237,228,1870
1970-71,28,FLO,ABA,SG,84,0,3611,764,1636,.467,45,124,.363,719,1512,.476,.481,471,587,.802,177,276,453,390,0,0,247,269,2044
1971-72,29,FLO,ABA,SG,66,0,2255,423,797,.531,18,60,.300,405,737,.550,.542,300,373,.804,133,176,309,210,0,0,135,203,1164
1972-73,30,TOT,ABA,PG,80,0,1701,240,521,.461,16,57,.281,224,464,.483,.476,202,244,.828,88,151,239,206,0,0,104,184,698
1972-73,30,UTS,ABA,PG,27,0,447,53,121,.438,4,11,.364,49,110,.445,.455,58,71,.817,25,36,61,43,0,0,21,43,168
1972-73,30,DLC,ABA,PG,53,0,1254,187,400,.468,12,46,.261,175,354,.494,.483,144,173,.832,63,115,178,163,0,0,83,141,530
1973-74,31,PHI,NBA,PG,72,0,1876,263,622,.423,0,0,0,263,622,.423,.423,197,235,.838,71,113,184,230,85,18,0,116,723
