Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,22,LAS,ABA,SG,78,0,2871,473,1162,.407,42,139,.302,431,1023,.421,.425,340,475,.716,196,403,599,177,0,0,182,193,1328
1969-70,23,TOT,ABA,SG,80,0,2037,317,758,.418,15,74,.203,302,684,.442,.428,223,331,.674,132,282,414,147,0,0,147,173,872
1969-70,23,LAS,ABA,SG,21,0,654,94,248,.379,9,38,.237,85,210,.405,.397,96,134,.716,43,104,147,47,0,0,64,56,293
1969-70,23,CAR,ABA,SG,59,0,1383,223,510,.437,6,36,.167,217,474,.458,.443,127,197,.645,89,178,267,100,0,0,83,117,579
1970-71,24,CAR,ABA,SG,77,0,2140,364,795,.458,13,61,.213,351,734,.478,.466,197,272,.724,171,286,457,167,0,0,130,181,938
1971-72,25,CAR,ABA,SG,83,0,3199,562,1228,.458,12,47,.255,550,1181,.466,.463,393,497,.791,177,222,399,235,0,0,191,232,1529
1972-73,26,SDA,ABA,SG,83,0,2700,450,1080,.417,0,7,.000,450,1073,.419,.417,306,422,.725,171,184,355,281,0,0,168,174,1206
1973-74,27,TOT,ABA,SG,80,0,1968,281,638,.440,0,3,.000,281,635,.443,.440,151,228,.662,87,122,209,144,56,6,120,138,713
1973-74,27,SDA,ABA,SG,7,0,68,5,13,.385,0,0,0,5,13,.385,.385,7,10,.700,3,6,9,8,5,0,5,5,17
1973-74,27,VIR,ABA,SG,73,0,1900,276,625,.442,0,3,.000,276,622,.444,.442,144,218,.661,84,116,200,136,51,6,115,133,696
1974-75,28,UTS,ABA,SG,5,0,26,3,9,.333,0,0,0,3,9,.333,.333,3,3,1.000,1,0,1,4,1,0,2,0,9
